date,equity
2016-02-16,100726.64000000001
2016-02-17,102273.68000000001
2016-02-18,102226.80000000002
2016-02-19,102015.84000000001
2016-02-22,103750.40000000001
2016-02-23,102719.04000000001
2016-02-24,102765.92
2016-02-25,104125.44
2016-02-26,104266.08
2016-02-29,103609.76000000001
2016-03-01,105625.6
2016-03-02,105719.36000000002
2016-03-03,106469.44
2016-03-04,106914.80000000002
2016-03-07,107219.52
2016-03-08,105719.36000000002
2016-03-09,106047.52
2016-03-10,105883.44
2016-03-11,107430.48000000001
2016-03-14,107524.24
2016-03-15,107453.92
2016-03-16,107852.40000000001
2016-03-17,110196.40000000001
2016-03-18,110594.88000000002
2016-03-21,111227.76000000001
2016-03-22,110594.88000000002
2016-03-23,109891.68000000001
2016-03-24,109563.52
2016-03-25,109563.52
2016-03-28,109610.40000000001
2016-03-29,110313.6
2016-03-30,110524.56000000001
2016-03-31,110266.72000000002
2016-04-01,110782.40000000001
2016-04-04,109540.08
2016-04-05,108860.32
2016-04-06,109399.44
2016-04-07,108344.64000000001
2016-04-08,108766.56000000001
2016-04-11,108790.0
2016-04-12,109422.88000000002
2016-04-13,111063.68000000001
2016-04-14,111251.20000000001
2016-04-15,111415.28000000001
2016-04-18,111509.04000000001
2016-04-19,112306.0
2016-04-20,112141.92
2016-04-21,111860.64000000001
2016-04-22,112141.92
2016-04-25,111602.80000000002
2016-04-26,112587.28000000001
2016-04-27,113384.24
2016-04-28,112282.56000000001
2016-04-29,111626.24
2016-05-02,112212.24
2016-05-03,111298.08
2016-05-04,109938.56000000001
2016-05-05,109868.24
2016-05-06,110594.88000000002
2016-05-09,110102.64000000001
2016-05-10,112001.28000000001
2016-05-11,111063.68000000001
2016-05-12,110829.28000000001
2016-05-13,109372.56972945602
2016-05-16,109372.56972945602
2016-05-17,109372.56972945602
2016-05-18,109372.56972945602
2016-05-19,109372.56972945602
2016-05-20,109372.56972945602
2016-05-23,109372.56972945602
2016-05-24,109372.56972945602
2016-05-25,109372.56972945602
2016-05-26,109372.56972945602
2016-05-27,109372.56972945602
2016-05-30,109372.56972945602
2016-05-31,109372.56972945602
2016-06-01,109372.56972945602
2016-06-02,109372.56972945602
2016-06-03,109372.56972945602
2016-06-06,110153.88972945603
2016-06-07,110682.42972945602
2016-06-08,111371.82972945603
2016-06-09,111371.82972945603
2016-06-10,110061.96972945603
2016-06-13,108867.00972945603
2016-06-14,108889.98972945602
2016-06-15,108935.94972945603
2016-06-16,109119.78972945602
2016-06-17,109211.70972945602
2016-06-20,110222.82972945603
2016-06-21,110130.90972945602
2016-06-22,109809.18972945603
2016-06-23,111096.06972945602
2016-06-24,106569.00972945603
2016-06-27,104064.18972945603
2016-06-28,105833.64972945602
2016-06-29,107695.02972945603
2016-06-30,109763.22972945603
2016-07-01,110107.92972945602
2016-07-04,110107.92972945602
2016-07-05,109119.78972945602
2016-07-06,109671.30972945603
2016-07-07,109947.06972945602
2016-07-08,112153.14972945602
2016-07-11,112865.52972945603
2016-07-12,113899.62972945602
2016-07-13,114175.38972945603
2016-07-14,115025.64972945602
2016-07-15,115002.66972945603
2016-07-18,114910.74972945603
2016-07-19,114979.68972945603
2016-07-20,115186.50972945603
2016-07-21,114014.52972945603
2016-07-22,114221.34972945602
2016-07-25,113623.86972945603
2016-07-26,114566.04972945603
2016-07-27,114106.44972945603
2016-07-28,114060.48972945602
2016-07-29,113738.76972945602
2016-08-01,113600.88972945603
2016-08-02,112543.80972945603
2016-08-03,113095.32972945603
2016-08-04,113141.28972945602
2016-08-05,114267.30972945603
2016-08-08,114428.16972945603
2016-08-09,114382.20972945602
2016-08-10,114336.24972945603
2016-08-11,115071.60972945603
2016-08-12,114749.88972945603
2016-08-15,115531.20972945602
2016-08-16,115002.66972945603
2016-08-17,115347.36972945603
2016-08-18,115692.06972945602
2016-08-19,115669.08972945603
2016-08-22,115554.18972945603
2016-08-23,115669.08972945603
2016-08-24,115301.40972945602
2016-08-25,115278.42972945602
2016-08-26,114956.70972945602
2016-08-29,115783.98972945602
2016-08-30,115462.26972945602
2016-08-31,114818.82972945603
2016-09-01,114910.74972945603
2016-09-02,115485.24972945603
2016-09-05,115485.24972945603
