date,equity
2016-02-03,100902.40999999999
2016-02-04,100465.76
2016-02-05,100785.96999999999
2016-02-08,100436.65
2016-02-09,100785.96999999999
2016-02-10,100669.52999999998
2016-02-11,98893.81999999999
2016-02-12,98602.71999999999
2016-02-15,98602.71999999999
2016-02-16,99243.14
2016-02-17,99039.37000000001
2016-02-18,100669.52999999998
2016-02-19,100000.0
2016-02-22,101164.4
2016-02-23,101251.73
2016-02-24,101717.48999999999
2016-02-25,102765.44999999998
2016-02-26,99912.67
2016-02-29,100203.77
2016-03-01,99708.9
2016-03-02,100232.87999999999
2016-03-03,100844.19
2016-03-04,101950.37000000001
2016-03-07,102532.56999999999
2016-03-08,103551.42
2016-03-09,104017.17999999998
2016-03-10,104104.51
2016-03-11,104220.94999999998
2016-03-14,104337.39
2016-03-15,104541.15999999999
2016-03-16,106142.20999999999
2016-03-17,106724.40999999999
2016-03-18,105239.79999999999
2016-03-21,105152.46999999999
2016-03-22,104803.15
2016-03-23,105560.01
2016-03-24,105851.10999999999
2016-03-25,105851.10999999999
2016-03-28,105472.67999999998
2016-03-29,107015.51
2016-03-30,106753.52
2016-03-31,107393.94
2016-04-01,107801.48
2016-04-04,107335.71999999999
2016-04-05,105327.12999999999
2016-04-06,105210.69
2016-04-07,105152.46999999999
2016-04-08,105734.67
2016-04-11,105268.90999999999
2016-04-12,105996.65999999999
2016-04-13,105356.23999999999
2016-04-14,105239.79999999999
2016-04-15,105822.0
2016-04-18,106229.54
2016-04-19,106404.19999999998
2016-04-20,103664.493387746
2016-04-21,103664.493387746
2016-04-22,103664.493387746
2016-04-25,103664.493387746
2016-04-26,103664.493387746
2016-04-27,103664.493387746
2016-04-28,103664.493387746
2016-04-29,103664.493387746
2016-05-02,103664.493387746
2016-05-03,103664.493387746
2016-05-04,104836.273387746
2016-05-05,104436.15338774599
2016-05-06,103750.23338774599
2016-05-09,104350.41338774598
2016-05-10,104464.73338774599
2016-05-11,104836.273387746
2016-05-12,105465.03338774599
2016-05-13,104950.59338774599
2016-05-16,105064.91338774598
2016-05-17,103292.95338774599
2016-05-18,101349.513387746
2016-05-19,102378.393387746
2016-05-20,102607.03338774599
2016-05-23,101692.473387746
2016-05-24,102721.35338774598
2016-05-25,102406.973387746
2016-05-26,103521.59338774599
2016-05-27,103750.23338774599
2016-05-30,103750.23338774599
2016-05-31,104436.15338774599
2016-06-01,104721.95338774599
2016-06-02,104750.53338774599
2016-06-03,106408.17338774599
2016-06-06,106265.273387746
2016-06-07,106179.53338774599
2016-06-08,106808.29338774599
2016-06-09,107722.85338774598
2016-06-10,107465.633387746
2016-06-13,107322.73338774599
2016-06-14,107894.333387746
2016-06-15,107236.993387746
2016-06-16,107894.333387746
2016-06-17,108294.45338774599
2016-06-20,107865.75338774601
2016-06-21,108037.23338774599
2016-06-22,107522.79338774599
2016-06-23,107808.59338774599
2016-06-24,107980.073387746
2016-06-27,109323.333387746
2016-06-28,109666.29338774599
2016-06-29,110009.25338774601
2016-06-30,112409.973387746
2016-07-01,112409.973387746
2016-07-04,112409.973387746
2016-07-05,113238.79338774599
2016-07-06,113496.013387746
2016-07-07,111381.09338774599
2016-07-08,112552.873387746
2016-07-11,112467.133387746
2016-07-12,110923.813387746
2016-07-13,111809.79338774599
2016-07-14,111066.713387746
2016-07-15,111381.09338774599
2016-07-18,111724.05338774601
2016-07-19,111523.993387746
2016-07-20,110866.65338774599
2016-07-21,111552.573387746
2016-07-22,113010.15338774599
2016-07-25,112838.67338774599
2016-07-26,111838.373387746
2016-07-27,110552.273387746
2016-07-28,110980.973387746
2016-07-29,111638.313387746
2016-08-01,111724.05338774601
2016-08-02,110980.973387746
2016-08-03,110262.932097106
2016-08-04,110262.932097106
2016-08-05,110262.932097106
2016-08-08,110262.932097106
2016-08-09,110262.932097106
2016-08-10,110262.932097106
2016-08-11,110262.932097106
2016-08-12,110262.932097106
2016-08-15,110262.932097106
2016-08-16,110262.932097106
2016-08-17,110262.932097106
2016-08-18,110262.932097106
2016-08-19,110262.932097106
2016-08-22,110262.932097106
2016-08-23,110262.932097106
2016-08-24,110262.932097106
2016-08-25,110262.932097106
2016-08-26,110262.932097106
2016-08-29,110262.932097106
2016-08-30,110262.932097106
2016-08-31,110262.932097106
2016-09-01,110262.932097106
2016-09-02,110262.932097106
2016-09-05,110262.932097106
2016-09-06,110262.932097106
2016-09-07,110262.932097106
2016-09-08,110262.932097106
2016-09-09,110262.932097106
2016-09-12,110262.932097106
2016-09-13,110262.932097106
2016-09-14,110262.932097106
2016-09-15,110262.932097106
2016-09-16,110262.932097106
2016-09-19,110262.932097106
2016-09-20,110262.932097106
2016-09-21,112315.33209710599
2016-09-22,112989.692097106
2016-09-23,112901.732097106
2016-09-26,112608.532097106
2016-09-27,111142.532097106
2016-09-28,110966.612097106
2016-09-29,109354.012097106
2016-09-30,108591.692097106
2016-10-03,107096.37209710601
2016-10-04,104809.412097106
2016-10-05,104604.172097106
2016-10-06,104545.532097106
2016-10-07,104428.252097106
2016-10-10,105307.85209710599
2016-10-11,104105.732097106
2016-10-12,105131.932097106
2016-10-13,106422.012097106
2016-10-14,105747.65209710601
2016-10-17,106422.012097106
2016-10-18,107330.932097106
2016-10-19,107067.05209710599
2016-10-20,107008.412097106
2016-10-21,106392.692097106
2016-10-24,106803.172097106
2016-10-25,107448.21209710599
2016-10-26,107712.09209710598
2016-10-27,107067.05209710599
2016-10-28,107418.892097106
2016-10-31,109559.252097106
2016-11-01,107565.49209710599
2016-11-02,106216.77209710599
2016-11-03,106597.932097106
2016-11-04,106275.412097106
2016-11-07,108151.892097106
2016-11-08,108972.85209710599
2016-11-09,104923.28734142598
2016-11-10,104923.28734142598
2016-11-11,104923.28734142598
2016-11-14,104923.28734142598
2016-11-15,104923.28734142598
2016-11-16,104923.28734142598
2016-11-17,104923.28734142598
2016-11-18,104923.28734142598
2016-11-21,104923.28734142598
2016-11-22,104923.28734142598
2016-11-23,104923.28734142598
2016-11-24,104923.28734142598
2016-11-25,104923.28734142598
2016-11-28,104923.28734142598
2016-11-29,104923.28734142598
2016-11-30,104923.28734142598
2016-12-01,104923.28734142598
2016-12-02,104923.28734142598
2016-12-05,104923.28734142598
2016-12-06,104923.28734142598
2016-12-07,104923.28734142598
2016-12-08,104923.28734142598
2016-12-09,104923.28734142598
2016-12-12,106463.46734142599
2016-12-13,107538.68734142598
2016-12-14,105330.12734142598
2016-12-15,106085.68734142598
2016-12-16,107364.32734142597
2016-12-19,107771.16734142597
2016-12-20,107945.52734142597
2016-12-21,107451.50734142597
2016-12-22,107829.28734142598
2016-12-23,107800.22734142598
2016-12-26,107800.22734142598
2016-12-27,107887.40734142596
2016-12-28,106870.30734142599
2016-12-29,108323.30734142599
2016-12-30,107713.04734142598
2017-01-02,107713.04734142598
2017-01-03,107451.50734142597
2017-01-04,107858.34734142598
2017-01-05,107974.58734142597
2017-01-06,108294.24734142597
2017-01-09,106870.30734142599
2017-01-10,106550.64734142597
2017-01-11,107654.92734142597
2017-01-12,107742.10734142597
2017-01-13,107596.80734142599
2017-01-16,107596.80734142599
2017-01-17,108759.20734142598
2017-01-18,108613.90734142596
2017-01-19,107683.98734142596
2017-01-20,107858.34734142598
2017-01-23,107306.20734142598
2017-01-24,107306.20734142598
2017-01-25,107306.20734142598
2017-01-26,107335.26734142598
2017-01-27,107306.20734142598
2017-01-30,107393.38734142599
2017-01-31,109078.86734142598
2017-02-01,107189.96734142599
2017-02-02,108323.30734142599
2017-02-03,108439.54734142598
2017-02-06,108236.12734142598
2017-02-07,108497.66734142597
2017-02-08,109543.82734142597
2017-02-09,108613.90734142596
2017-02-10,109311.34734142598
2017-02-13,109834.42734142597
2017-02-14,109049.80734142599
2017-02-15,108788.26734142598
2017-02-16,109863.48734142596
2017-02-17,109921.60734142597
2017-02-20,109921.60734142597
2017-02-21,111084.00734142597
