date,equity
2016-02-25,100758.4
2016-02-26,100669.92
2016-02-29,100214.88
2016-03-01,102477.43999999999
2016-03-02,102388.96
2016-03-03,102907.2
2016-03-04,102831.36
2016-03-07,102452.16
2016-03-08,101756.96
2016-03-09,101933.92
2016-03-10,102148.8
2016-03-11,103488.63999999998
2016-03-14,103817.28
2016-03-15,103804.63999999998
2016-03-16,104525.12
2016-03-17,104651.51999999999
2016-03-18,104398.72
2016-03-21,104436.63999999998
2016-03-22,104284.96
2016-03-23,103665.59999999999
2016-03-24,103779.36
2016-03-25,103779.36
2016-03-28,104171.2
2016-03-29,105081.28
2016-03-30,105650.08
2016-03-31,105548.96
2016-04-01,105928.16
2016-04-04,105220.31999999999
2016-04-05,104449.28
2016-04-06,105296.16
2016-04-07,104284.96
2016-04-08,104145.92
2016-04-11,103804.63999999998
2016-04-12,104487.2
2016-04-13,105738.56
2016-04-14,105738.56
2016-04-15,105991.36
2016-04-18,106850.88
2016-04-19,106345.28
2016-04-20,106459.04
2016-04-21,106143.04
2016-04-22,105966.08
2016-04-25,106067.2
2016-04-26,106282.08
2016-04-27,106193.59999999999
2016-04-28,105207.68
2016-04-29,105662.72
2016-05-02,106939.36
2016-05-03,106092.48
2016-05-04,105675.36
2016-05-05,105093.92
2016-05-06,105751.2
2016-05-09,106004.0
2016-05-10,107179.51999999999
2016-05-11,105321.43999999999
2016-05-12,105498.4
2016-05-13,104383.386185952
2016-05-16,104383.386185952
2016-05-17,104383.386185952
2016-05-18,104383.386185952
2016-05-19,104383.386185952
2016-05-20,104383.386185952
2016-05-23,104383.386185952
2016-05-24,104383.386185952
2016-05-25,104383.386185952
2016-05-26,104383.386185952
2016-05-27,104383.386185952
2016-05-30,104383.386185952
2016-05-31,104383.386185952
2016-06-01,104383.386185952
2016-06-02,104383.386185952
2016-06-03,104383.386185952
2016-06-06,104383.386185952
2016-06-07,104383.386185952
2016-06-08,104383.386185952
2016-06-09,104383.386185952
2016-06-10,104383.386185952
2016-06-13,104383.386185952
2016-06-14,104383.386185952
2016-06-15,104383.386185952
2016-06-16,104383.386185952
2016-06-17,104383.386185952
2016-06-20,104383.386185952
2016-06-21,104383.386185952
2016-06-22,104383.386185952
2016-06-23,104383.386185952
2016-06-24,104383.386185952
2016-06-27,104383.386185952
2016-06-28,104383.386185952
2016-06-29,104383.386185952
2016-06-30,104383.386185952
2016-07-01,104383.386185952
2016-07-04,104383.386185952
2016-07-05,104383.386185952
2016-07-06,104383.386185952
2016-07-07,104904.186185952
2016-07-08,106454.186185952
2016-07-11,106987.386185952
2016-07-12,107346.98618595199
2016-07-13,106900.586185952
2016-07-14,107272.586185952
2016-07-15,106863.386185952
2016-07-18,107210.586185952
2016-07-19,107049.386185952
2016-07-20,107433.786185952
2016-07-21,107185.786185952
2016-07-22,107570.186185952
2016-07-25,107706.58618595201
2016-07-26,107594.986185952
2016-07-27,107322.186185952
2016-07-28,107483.386185952
2016-07-29,107594.986185952
2016-08-01,107731.386185952
2016-08-02,106354.986185952
2016-08-03,106615.386185952
2016-08-04,106578.18618595198
2016-08-05,107532.986185952
2016-08-08,107222.986185952
2016-08-09,106950.186185952
2016-08-10,107148.586185952
2016-08-11,108053.786185952
2016-08-12,108016.58618595201
2016-08-15,108190.186185952
2016-08-16,107669.386185952
2016-08-17,107446.18618595198
2016-08-18,107396.58618595201
2016-08-19,107446.18618595198
2016-08-22,107359.386185952
2016-08-23,107818.18618595198
2016-08-24,107384.186185952
2016-08-25,107074.186185952
2016-08-26,106826.18618595198
2016-08-29,107136.18618595198
2016-08-30,106627.78618595199
2016-08-31,106364.658029712
2016-09-01,106364.658029712
2016-09-02,106364.658029712
2016-09-05,106364.658029712
2016-09-06,106364.658029712
2016-09-07,106364.658029712
2016-09-08,106364.658029712
2016-09-09,106364.658029712
2016-09-12,106364.658029712
2016-09-13,106364.658029712
2016-09-14,106364.658029712
2016-09-15,106364.658029712
2016-09-16,106364.658029712
2016-09-19,106364.658029712
2016-09-20,106364.658029712
2016-09-21,106364.658029712
2016-09-22,106364.658029712
2016-09-23,106364.658029712
2016-09-26,106364.658029712
2016-09-27,106364.658029712
2016-09-28,106364.658029712
2016-09-29,106364.658029712
2016-09-30,106364.658029712
2016-10-03,106364.658029712
2016-10-04,106364.658029712
2016-10-05,106364.658029712
2016-10-06,106550.658029712
2016-10-07,106141.458029712
2016-10-10,106277.858029712
2016-10-11,105199.05802971199
2016-10-12,105608.25802971199
2016-10-13,105285.858029712
2016-10-14,105186.65802971201
2016-10-17,104442.658029712
2016-10-18,105013.058029712
2016-10-19,105434.658029712
2016-10-20,105285.858029712
2016-10-21,105980.25802971199
2016-10-24,106625.058029712
2016-10-25,105558.65802971201
2016-10-26,105174.258029712
2016-10-27,104430.25802971199
2016-10-28,104219.458029712
2016-10-31,104293.85802971199
2016-11-01,103673.85802971199
2016-11-02,103140.658029712
2016-11-03,102905.058029712
2016-11-04,102743.85802971199
2016-11-07,104740.25802971199
2016-11-08,105099.85802971199
2016-11-09,105285.858029712
2016-11-10,105608.25802971199
2016-11-11,106153.85802971199
2016-11-14,106129.05802971199
2016-11-15,106451.458029712
2016-11-16,106984.658029712
2016-11-17,108051.05802971199
2016-11-18,107790.658029712
2016-11-21,108398.25802971199
2016-11-22,109489.458029712
2016-11-23,109576.258029712
2016-11-24,109576.258029712
2016-11-25,109799.458029712
2016-11-28,109055.458029712
2016-11-29,109303.458029712
2016-11-30,108534.658029712
2016-12-01,108571.85802971199
2016-12-02,108063.458029712
2016-12-05,108993.458029712
2016-12-06,109291.05802971199
2016-12-07,111101.458029712
2016-12-08,111101.458029712
2016-12-09,111312.258029712
2016-12-12,110518.65802971201
2016-12-13,111361.85802971199
2016-12-14,110717.058029712
2016-12-15,110493.85802971199
2016-12-16,110035.058029712
2016-12-19,110283.058029712
2016-12-20,111039.458029712
2016-12-21,110989.85802971199
2016-12-22,109973.058029712
2016-12-23,109762.258029712
2016-12-26,109762.258029712
2016-12-27,110121.85802971199
2016-12-28,109477.058029712
2016-12-29,109353.058029712
2016-12-30,108571.85802971199
2017-01-02,108571.85802971199
2017-01-03,109117.458029712
2017-01-04,110357.458029712
2017-01-05,110283.058029712
2017-01-06,110754.258029712
2017-01-09,110667.458029712
2017-01-10,111014.658029712
2017-01-11,111213.058029712
2017-01-12,111126.258029712
2017-01-13,111485.858029712
2017-01-16,111485.858029712
2017-01-17,111634.658029712
2017-01-18,111473.458029712
2017-01-19,111188.25802971199
2017-01-20,111448.65802971201
2017-01-23,111510.658029712
2017-01-24,112304.258029712
2017-01-25,112887.058029712
2017-01-26,113048.25802971199
2017-01-27,112725.858029712
2017-01-30,112626.65802971201
2017-01-31,112465.458029712
2017-02-01,112291.85802971199
2017-02-02,112205.058029712
2017-02-03,112081.05802971199
2017-02-06,111795.858029712
2017-02-07,111709.05802971199
2017-02-08,112304.258029712
2017-02-09,112899.458029712
2017-02-10,113494.658029712
2017-02-13,113606.258029712
2017-02-14,114164.258029712
2017-02-15,114644.90890795199
2017-02-16,114644.90890795199
2017-02-17,114644.90890795199
2017-02-20,114644.90890795199
