date,equity
2016-02-22,33333.333333333336
2016-02-23,33182.67333333334
2016-02-24,33257.823333333334
2016-02-25,33422.433333333334
2016-02-26,33439.71333333333
2016-02-29,33309.613333333335
2016-03-01,33794.323333333334
2016-03-02,33964.583333333336
2016-03-03,34133.433333333334
2016-03-04,34251.02333333334
2016-03-07,34327.38333333333
2016-03-08,33866.81333333334
2016-03-09,34017.083333333336
2016-03-10,33929.443333333336
2016-03-11,34465.84333333334
2016-03-14,34422.44333333334
2016-03-15,34243.683333333334
2016-03-16,34480.14333333334
2016-03-17,34711.043333333335
2016-03-18,34815.45333333334
2016-03-21,34841.49333333334
2016-03-22,34849.36333333334
2016-03-23,34512.323333333334
2016-03-24,34539.37333333333
2016-03-25,34539.37333333333
2016-03-28,34571.113333333335
2016-03-29,35097.223333333335
2016-03-30,35164.683333333334
2016-03-31,35160.573333333334
2016-04-01,35365.93333333334
2016-04-04,35168.73333333334
2016-04-05,34857.78333333334
2016-04-06,35219.263333333336
2016-04-07,34824.693333333336
2016-04-08,34914.35333333334
2016-04-11,34833.53333333334
2016-04-12,35127.403333333335
2016-04-13,35585.17333333334
2016-04-14,35546.38333333334
2016-04-15,35572.59333333334
2016-04-18,35756.763333333336
2016-04-19,35770.543333333335
2016-04-20,35799.28333333334
2016-04-21,35652.12333333334
2016-04-22,35683.02333333334
2016-04-25,35572.653333333335
2016-04-26,35693.71333333333
2016-04-27,35715.043333333335
2016-04-28,35366.10333333333
2016-04-29,35173.66333333334
2016-05-02,35441.03333333334
2016-05-03,35070.95333333334
2016-05-04,34888.973333333335
2016-05-05,34852.73333333334
2016-05-06,34959.14333333334
2016-05-09,34986.12333333334
2016-05-10,35246.16333333334
2016-05-11,35004.003333333334
2016-05-12,34961.09333333334
2016-05-13,34771.80333333334
2016-05-16,34771.80333333334
2016-05-17,34771.80333333334
2016-05-18,34771.80333333334
2016-05-19,34771.80333333334
2016-05-20,34771.80333333334
2016-05-23,34771.80333333334
2016-05-24,34771.80333333334
2016-05-25,34821.48333333334
2016-05-26,34842.18333333334
2016-05-27,34970.77333333334
2016-05-30,34970.77333333334
2016-05-31,34993.30333333334
2016-06-01,35094.56333333334
2016-06-02,35238.56333333334
2016-06-03,35096.50333333334
2016-06-06,35307.013333333336
2016-06-07,35347.36333333334
2016-06-08,35475.833333333336
2016-06-09,35385.613333333335
2016-06-10,35022.10333333333
2016-06-13,34741.253333333334
2016-06-14,34683.03333333334
2016-06-15,34671.52333333333
2016-06-16,34707.95333333334
2016-06-17,34566.73333333334
2016-06-20,34816.013333333336
2016-06-21,34850.71333333333
2016-06-22,34768.16333333334
2016-06-23,35243.37333333334
2016-06-24,34091.09333333334
2016-06-27,33384.223333333335
2016-06-28,33648.13333333333
2016-06-29,33909.60333333334
2016-06-30,34140.98333333334
2016-07-01,34172.16333333333
2016-07-04,34172.16333333333
2016-07-05,34032.27333333333
2016-07-06,34114.99333333333
2016-07-07,34123.50333333334
2016-07-08,34376.49333333333
2016-07-11,34484.27333333334
2016-07-12,34744.98333333334
2016-07-13,34677.35333333334
2016-07-14,34791.183333333334
2016-07-15,34789.003333333334
2016-07-18,34876.64333333333
2016-07-19,34793.71333333334
2016-07-20,34984.03333333333
2016-07-21,34859.583333333336
2016-07-22,35038.27333333333
2016-07-25,34980.78333333333
2016-07-26,35066.23333333334
2016-07-27,35095.85333333334
2016-07-28,35136.56333333333
2016-07-29,35205.193333333336
2016-08-01,35221.35333333333
2016-08-02,34927.653333333335
2016-08-03,35083.503333333334
2016-08-04,35117.78333333334
2016-08-05,35426.98333333333
2016-08-08,35411.55333333334
2016-08-09,35438.21333333334
2016-08-10,35324.56333333334
2016-08-11,35443.363333333335
2016-08-12,35435.323333333334
2016-08-15,35619.683333333334
2016-08-16,35404.583333333336
2016-08-17,35394.24333333333
2016-08-18,35522.39333333334
2016-08-19,35511.13333333334
2016-08-22,35540.763333333336
2016-08-23,35658.67333333333
2016-08-24,35472.77333333334
2016-08-25,35482.60333333333
2016-08-26,35432.24333333333
2016-08-29,35579.073333333334
2016-08-30,35555.793333333335
2016-08-31,35452.67333333334
2016-09-01,35473.59333333334
2016-09-02,35683.02333333333
2016-09-05,35683.02333333333
2016-09-06,35740.89333333333
2016-09-07,35819.80333333333
2016-09-08,35708.793333333335
2016-09-09,34880.27333333333
2016-09-12,35105.59333333334
2016-09-13,34900.50333333334
2016-09-14,34934.30333333333
2016-09-15,35043.50333333334
2016-09-16,35040.25333333334
2016-09-19,35009.05333333334
2016-09-20,35022.70333333334
2016-09-21,35092.25333333334
2016-09-22,35149.45333333334
2016-09-23,35053.38333333333
2016-09-26,34921.25333333334
2016-09-27,35020.903333333335
2016-09-28,35086.37333333334
2016-09-29,34931.96333333333
2016-09-30,35062.71333333333
2016-10-03,35026.71333333333
2016-10-04,34982.38333333333
2016-10-05,35053.17333333334
2016-10-06,35040.96333333333
2016-10-07,34966.47333333334
2016-10-10,35094.543333333335
2016-10-11,34861.263333333336
2016-10-12,34852.21333333333
2016-10-13,34771.183333333334
2016-10-14,34748.91333333333
2016-10-17,34724.933333333334
2016-10-18,34821.263333333336
2016-10-19,34851.333333333336
2016-10-20,34824.323333333334
2016-10-21,34847.13333333334
2016-10-24,34976.443333333336
2016-10-25,34901.20333333334
2016-10-26,34787.20333333334
2016-10-27,34672.13333333333
2016-10-28,34628.58333333334
2016-10-31,34620.13333333333
2016-11-01,34566.183333333334
2016-11-02,34566.183333333334
2016-11-03,34566.183333333334
2016-11-04,34566.183333333334
2016-11-07,34566.183333333334
2016-11-08,34566.183333333334
2016-11-09,34566.183333333334
2016-11-10,34732.333333333336
2016-11-11,34953.60333333334
2016-11-14,35183.41333333334
2016-11-15,35298.823333333334
2016-11-16,35298.06333333334
2016-11-17,35422.753333333334
2016-11-18,35444.84333333334
2016-11-21,35594.61333333334
2016-11-22,35734.653333333335
2016-11-23,35821.08333333334
2016-11-24,35821.08333333334
2016-11-25,35898.55333333333
2016-11-28,35711.80333333334
2016-11-29,35736.63333333334
2016-11-30,35576.863333333335
2016-12-01,35366.31333333334
2016-12-02,35388.263333333336
2016-12-05,35706.543333333335
2016-12-06,35909.333333333336
2016-12-07,36265.53333333334
2016-12-08,36514.91333333334
2016-12-09,36614.74333333333
2016-12-12,36438.403333333335
2016-12-13,36594.24333333334
2016-12-14,36322.323333333334
2016-12-15,36459.67333333334
2016-12-16,36376.87333333334
2016-12-19,36523.91333333334
2016-12-20,36695.34333333334
2016-12-21,36580.753333333334
