entry_time,exit_time,position,instrument,entry_price,exit_price,exit_reason,risk,shares,gross_pnl,fees,net_pnl,equity_before,equity
1970-01-31,1970-01-31,long,CRSP_LargeCap_D10,100.0,91.9141,monthly_hold,5.0,1,-8085.89,30.0,-8115.89,100000.0,91884.11
1970-01-31,1970-02-28,long,CRSP_LargeCap_D10,100.0,105.8002,monthly_hold,5.0,1,5329.45,27.57,5301.89,91884.11,97186.0
1970-02-28,1970-03-31,long,CRSP_LargeCap_D10,100.0,99.9864,monthly_hold,5.0,1,-13.24,29.16,-42.39,97186.0,97143.61
1970-03-31,1970-04-30,long,CRSP_LargeCap_D10,100.0,91.4238,monthly_hold,5.0,1,-8331.24,29.14,-8360.39,97143.61,88783.22
1970-04-30,1970-05-31,long,CRSP_LargeCap_D10,100.0,95.0872,monthly_hold,5.0,1,-4361.74,26.63,-4388.38,88783.22,84394.84
1970-05-31,1970-06-30,long,CRSP_LargeCap_D10,100.0,95.1787,monthly_hold,5.0,1,-4068.96,25.32,-4094.28,84394.84,80300.56
1970-06-30,1970-07-31,long,CRSP_LargeCap_D10,100.0,107.2608,monthly_hold,5.0,1,5830.48,24.09,5806.39,80300.56,86106.95
1970-07-31,1970-08-31,long,CRSP_LargeCap_D10,100.0,104.6687,monthly_hold,5.0,1,4020.04,25.83,3994.2,86106.95,90101.15
1970-08-31,1970-09-30,long,CRSP_LargeCap_D10,100.0,103.2439,monthly_hold,5.0,1,2922.8,27.03,2895.77,90101.15,92996.92
1970-09-30,1970-10-31,long,CRSP_LargeCap_D10,100.0,99.5446,monthly_hold,5.0,1,-423.53,27.9,-451.43,92996.92,92545.49
1970-10-31,1970-11-30,long,CRSP_LargeCap_D10,100.0,105.4485,monthly_hold,5.0,1,5042.32,27.76,5014.56,92545.49,97560.05
1970-11-30,1970-12-31,long,CRSP_LargeCap_D10,100.0,105.1905,monthly_hold,5.0,1,5063.88,29.27,5034.61,97560.05,102594.67
1970-12-31,1971-01-31,long,CRSP_LargeCap_D10,100.0,103.5324,monthly_hold,5.0,1,3624.09,30.78,3593.32,102594.67,106187.98
1971-01-31,1971-02-28,long,CRSP_LargeCap_D10,100.0,101.1777,monthly_hold,5.0,1,1250.55,31.86,1218.7,106187.98,107406.68
1971-02-28,1971-03-31,long,CRSP_LargeCap_D10,100.0,104.1675,monthly_hold,5.0,1,4476.13,32.22,4443.9,107406.68,111850.59
1971-03-31,1971-04-30,long,CRSP_LargeCap_D10,100.0,103.2832,monthly_hold,5.0,1,3672.27,33.56,3638.72,111850.59,115489.3
1971-04-30,1971-05-31,long,CRSP_LargeCap_D10,100.0,96.1879,monthly_hold,5.0,1,-4402.58,34.65,-4437.23,115489.3,111052.07
1971-05-31,1971-06-30,long,CRSP_LargeCap_D10,100.0,100.7063,monthly_hold,5.0,1,784.33,33.32,751.02,111052.07,111803.09
1971-06-30,1971-07-31,long,CRSP_LargeCap_D10,100.0,96.1841,monthly_hold,5.0,1,-4266.24,33.54,-4299.78,111803.09,107503.31
1971-07-31,1971-08-31,long,CRSP_LargeCap_D10,100.0,103.2867,monthly_hold,5.0,1,3533.3,32.25,3501.05,107503.31,111004.36
1971-08-31,1971-09-30,long,CRSP_LargeCap_D10,100.0,99.5219,monthly_hold,5.0,1,-530.72,33.3,-564.02,111004.36,110440.34
1971-09-30,1971-10-31,long,CRSP_LargeCap_D10,100.0,96.63,monthly_hold,5.0,1,-3721.79,33.13,-3754.92,110440.34,106685.42
1971-10-31,1971-11-30,long,CRSP_LargeCap_D10,100.0,100.8166,monthly_hold,5.0,1,871.14,32.01,839.14,106685.42,107524.56
1971-11-30,1971-12-31,long,CRSP_LargeCap_D10,100.0,108.1058,monthly_hold,5.0,1,8715.75,32.26,8683.49,107524.56,116208.05
1971-12-31,1972-01-31,long,CRSP_LargeCap_D10,100.0,101.5372,monthly_hold,5.0,1,1786.4,34.86,1751.54,116208.05,117959.59
1972-01-31,1972-02-29,long,CRSP_LargeCap_D10,100.0,103.1665,monthly_hold,5.0,1,3735.22,35.39,3699.83,117959.59,121659.42
1972-02-29,1972-03-31,long,CRSP_LargeCap_D10,100.0,101.1506,monthly_hold,5.0,1,1399.87,36.5,1363.37,121659.42,123022.79
1972-03-31,1972-04-30,long,CRSP_LargeCap_D10,100.0,100.7127,monthly_hold,5.0,1,876.82,36.91,839.91,123022.79,123862.7
1972-04-30,1972-05-31,long,CRSP_LargeCap_D10,100.0,102.7271,monthly_hold,5.0,1,3377.89,37.16,3340.73,123862.7,127203.43
1972-05-31,1972-06-30,long,CRSP_LargeCap_D10,100.0,98.5277,monthly_hold,5.0,1,-1872.8,38.16,-1910.96,127203.43,125292.46
1972-06-30,1972-07-31,long,CRSP_LargeCap_D10,100.0,101.0021,monthly_hold,5.0,1,1255.5,37.59,1217.91,125292.46,126510.37
1972-07-31,1972-08-31,long,CRSP_LargeCap_D10,100.0,104.0064,monthly_hold,5.0,1,5068.56,37.95,5030.61,126510.37,131540.98
1972-08-31,1972-09-30,long,CRSP_LargeCap_D10,100.0,100.2304,monthly_hold,5.0,1,303.08,39.46,263.62,131540.98,131804.6
1972-09-30,1972-10-31,long,CRSP_LargeCap_D10,100.0,101.5968,monthly_hold,5.0,1,2104.66,39.54,2065.11,131804.6,133869.72
1972-10-31,1972-11-30,long,CRSP_LargeCap_D10,100.0,104.1043,monthly_hold,5.0,1,5494.45,40.16,5454.29,133869.72,139324.0
1972-11-30,1972-12-31,long,CRSP_LargeCap_D10,100.0,102.2115,monthly_hold,5.0,1,3081.14,41.8,3039.34,139324.0,142363.34
1972-12-31,1973-01-31,long,CRSP_LargeCap_D10,100.0,99.3327,monthly_hold,5.0,1,-949.99,42.71,-992.7,142363.34,141370.64
1973-01-31,1973-02-28,long,CRSP_LargeCap_D10,100.0,96.8928,monthly_hold,5.0,1,-4392.62,42.41,-4435.03,141370.64,136935.61
1973-02-28,1973-03-31,long,CRSP_LargeCap_D10,100.0,100.3454,monthly_hold,5.0,1,473.0,41.08,431.92,136935.61,137367.53
1973-03-31,1973-04-30,long,CRSP_LargeCap_D10,100.0,95.9549,monthly_hold,5.0,1,-5556.63,41.21,-5597.84,137367.53,131769.69
