ticker,n_trades,mean_ret_bps,sharpe,t_stat,t_p,boot_p5,perm_p,gates_pass,verdict,basket
SPY,2388,-6.59,-1.4168,-4.3605,1.0,-1.887,1.0,0,FAIL,us_equity_broad
QQQ,2388,-5.48,-1.007,-3.0991,0.999,-1.4984,0.999,0,FAIL,us_equity_broad
IWM,2388,-4.17,-0.7245,-2.2298,0.9871,-1.237,0.988,0,FAIL,us_equity_broad
MDY,2388,-7.01,-1.3469,-4.1453,1.0,-1.8427,1.0,0,FAIL,us_equity_broad
XLK,2388,-6.12,-1.0017,-3.0829,0.999,-1.4781,0.999,0,FAIL,us_sectors
XLF,2388,-7.15,-1.0883,-3.3496,0.9996,-1.5949,1.0,0,FAIL,us_sectors
XLE,2388,-3.62,-0.474,-1.4588,0.9276,-0.9932,0.932,0,FAIL,us_sectors
XLV,2388,-8.37,-2.1649,-6.6629,1.0,-2.7044,1.0,0,FAIL,us_sectors
XLI,2388,-6.46,-1.2556,-3.8643,0.9999,-1.7487,1.0,0,FAIL,us_sectors
XLP,2388,-8.89,-2.7053,-8.326,1.0,-3.2323,1.0,0,FAIL,us_sectors
XLY,2388,-6.17,-1.0847,-3.3385,0.9996,-1.6054,1.0,0,FAIL,us_sectors
XLU,2388,-8.38,-2.3565,-7.2526,1.0,-2.8526,1.0,0,FAIL,us_sectors
XLB,2388,-7.17,-1.3456,-4.1413,1.0,-1.8398,1.0,0,FAIL,us_sectors
XLRE,2388,-5.74,-1.2602,-3.8786,0.9999,-1.7601,1.0,0,FAIL,us_sectors
XLC,1769,-6.42,-1.1004,-2.9147,0.9982,-1.7019,0.999,0,FAIL,us_sectors
