entry_time,exit_time,direction,instrument,entry_price,exit_price,pct_return_gross,exit_reason
1996-01-31,1996-01-31,long,US_Market_SeasonalTilt,100.0,103.228,0.03228,monthly_rebalance
1996-01-31,1996-02-29,long,US_Market_SeasonalTilt,100.0,102.064,0.02064,monthly_rebalance
1996-02-29,1996-03-31,long,US_Market_SeasonalTilt,100.0,101.356,0.01356,monthly_rebalance
1996-03-31,1996-04-30,long,US_Market_SeasonalTilt,100.0,102.008,0.02008,monthly_rebalance
1996-04-30,1996-05-31,long,US_Market_SeasonalTilt,100.0,102.224,0.02224,monthly_rebalance
1996-05-31,1996-06-30,long,US_Market_SeasonalTilt,100.0,99.124,-0.00876,monthly_rebalance
1996-06-30,1996-07-31,long,US_Market_SeasonalTilt,100.0,95.592,-0.04408,monthly_rebalance
1996-07-31,1996-08-31,long,US_Market_SeasonalTilt,100.0,103.816,0.03816,monthly_rebalance
1996-08-31,1996-09-30,long,US_Market_SeasonalTilt,100.0,106.54,0.0654,monthly_rebalance
1996-09-30,1996-10-31,long,US_Market_SeasonalTilt,100.0,101.032,0.01032,monthly_rebalance
1996-10-31,1996-11-30,long,US_Market_SeasonalTilt,100.0,105.328,0.05328,monthly_rebalance
1996-11-30,1996-12-31,long,US_Market_SeasonalTilt,100.0,99.008,-0.00992,monthly_rebalance
1996-12-31,1997-01-31,long,US_Market_SeasonalTilt,100.0,106.504,0.06504,monthly_rebalance
1997-01-31,1997-02-28,long,US_Market_SeasonalTilt,100.0,99.892,-0.00108,monthly_rebalance
1997-02-28,1997-03-31,long,US_Market_SeasonalTilt,100.0,96.328,-0.03672,monthly_rebalance
1997-03-31,1997-04-30,long,US_Market_SeasonalTilt,100.0,103.576,0.03576,monthly_rebalance
1997-04-30,1997-05-31,long,US_Market_SeasonalTilt,100.0,105.776,0.05776,monthly_rebalance
1997-05-31,1997-06-30,long,US_Market_SeasonalTilt,100.0,105.364,0.05364,monthly_rebalance
1997-06-30,1997-07-31,long,US_Market_SeasonalTilt,100.0,106.192,0.06192,monthly_rebalance
1997-07-31,1997-08-31,long,US_Market_SeasonalTilt,100.0,97.056,-0.02944,monthly_rebalance
1997-08-31,1997-09-30,long,US_Market_SeasonalTilt,100.0,106.936,0.06936,monthly_rebalance
1997-09-30,1997-10-31,long,US_Market_SeasonalTilt,100.0,95.932,-0.04068,monthly_rebalance
1997-10-31,1997-11-30,long,US_Market_SeasonalTilt,100.0,102.704,0.02704,monthly_rebalance
1997-11-30,1997-12-31,long,US_Market_SeasonalTilt,100.0,102.208,0.02208,monthly_rebalance
1997-12-31,1998-01-31,long,US_Market_SeasonalTilt,100.0,100.456,0.00456,monthly_rebalance
1998-01-31,1998-02-28,long,US_Market_SeasonalTilt,100.0,108.916,0.08916,monthly_rebalance
1998-02-28,1998-03-31,long,US_Market_SeasonalTilt,100.0,104.12,0.0412,monthly_rebalance
1998-03-31,1998-04-30,long,US_Market_SeasonalTilt,100.0,100.936,0.00936,monthly_rebalance
1998-04-30,1998-05-31,long,US_Market_SeasonalTilt,100.0,97.88,-0.0212,monthly_rebalance
1998-05-31,1998-06-30,long,US_Market_SeasonalTilt,100.0,104.344,0.04344,monthly_rebalance
1998-06-30,1998-07-31,long,US_Market_SeasonalTilt,100.0,98.384,-0.01616,monthly_rebalance
1998-07-31,1998-08-31,long,US_Market_SeasonalTilt,100.0,81.256,-0.18744,monthly_rebalance
1998-08-31,1998-09-30,long,US_Market_SeasonalTilt,100.0,107.98,0.0798,monthly_rebalance
1998-09-30,1998-10-31,long,US_Market_SeasonalTilt,100.0,108.76,0.0876,monthly_rebalance
1998-10-31,1998-11-30,long,US_Market_SeasonalTilt,100.0,105.104,0.05104,monthly_rebalance
1998-11-30,1998-12-31,long,US_Market_SeasonalTilt,100.0,107.836,0.07836,monthly_rebalance
1998-12-31,1999-01-31,long,US_Market_SeasonalTilt,100.0,103.056,0.03056,monthly_rebalance
1999-01-31,1999-02-28,long,US_Market_SeasonalTilt,100.0,95.524,-0.04476,monthly_rebalance
1999-02-28,1999-03-31,long,US_Market_SeasonalTilt,100.0,104.692,0.04692,monthly_rebalance
1999-03-31,1999-04-30,long,US_Market_SeasonalTilt,100.0,103.768,0.03768,monthly_rebalance
1999-04-30,1999-05-31,long,US_Market_SeasonalTilt,100.0,97.456,-0.02544,monthly_rebalance
1999-05-31,1999-06-30,long,US_Market_SeasonalTilt,100.0,106.204,0.06204,monthly_rebalance
1999-06-30,1999-07-31,long,US_Market_SeasonalTilt,100.0,97.512,-0.02488,monthly_rebalance
1999-07-31,1999-08-31,long,US_Market_SeasonalTilt,100.0,99.216,-0.00784,monthly_rebalance
1999-08-31,1999-09-30,long,US_Market_SeasonalTilt,100.0,98.096,-0.01904,monthly_rebalance
1999-09-30,1999-10-31,long,US_Market_SeasonalTilt,100.0,107.776,0.07776,monthly_rebalance
1999-10-31,1999-11-30,long,US_Market_SeasonalTilt,100.0,103.016,0.03016,monthly_rebalance
1999-11-30,1999-12-31,long,US_Market_SeasonalTilt,100.0,109.72,0.0972,monthly_rebalance
1999-12-31,2000-01-31,long,US_Market_SeasonalTilt,100.0,96.536,-0.03464,monthly_rebalance
2000-01-31,2000-02-29,long,US_Market_SeasonalTilt,100.0,103.456,0.03456,monthly_rebalance
2000-02-29,2000-03-31,long,US_Market_SeasonalTilt,100.0,104.544,0.04544,monthly_rebalance
2000-03-31,2000-04-30,long,US_Market_SeasonalTilt,100.0,95.288,-0.04712,monthly_rebalance
2000-04-30,2000-05-31,long,US_Market_SeasonalTilt,100.0,95.332,-0.04668,monthly_rebalance
2000-05-31,2000-06-30,long,US_Market_SeasonalTilt,100.0,104.064,0.04064,monthly_rebalance
2000-06-30,2000-07-31,long,US_Market_SeasonalTilt,100.0,97.6,-0.024,monthly_rebalance
2000-07-31,2000-08-31,long,US_Market_SeasonalTilt,100.0,106.024,0.06024,monthly_rebalance
2000-08-31,2000-09-30,long,US_Market_SeasonalTilt,100.0,96.056,-0.03944,monthly_rebalance
2000-09-30,2000-10-31,long,US_Market_SeasonalTilt,100.0,97.336,-0.02664,monthly_rebalance
2000-10-31,2000-11-30,long,US_Market_SeasonalTilt,100.0,87.772,-0.12228,monthly_rebalance
2000-11-30,2000-12-31,long,US_Market_SeasonalTilt,100.0,102.016,0.02016,monthly_rebalance
2000-12-31,2001-01-31,long,US_Market_SeasonalTilt,100.0,104.548,0.04548,monthly_rebalance
2001-01-31,2001-02-28,long,US_Market_SeasonalTilt,100.0,88.42,-0.1158,monthly_rebalance
2001-02-28,2001-03-31,long,US_Market_SeasonalTilt,100.0,91.804,-0.08196,monthly_rebalance
2001-03-31,2001-04-30,long,US_Market_SeasonalTilt,100.0,109.996,0.09996,monthly_rebalance
2001-04-30,2001-05-31,long,US_Market_SeasonalTilt,100.0,101.2,0.012,monthly_rebalance
2001-05-31,2001-06-30,long,US_Market_SeasonalTilt,100.0,98.672,-0.01328,monthly_rebalance
2001-06-30,2001-07-31,long,US_Market_SeasonalTilt,100.0,97.804,-0.02196,monthly_rebalance
2001-07-31,2001-08-31,long,US_Market_SeasonalTilt,100.0,95.128,-0.04872,monthly_rebalance
2001-08-31,2001-09-30,long,US_Market_SeasonalTilt,100.0,92.832,-0.07168,monthly_rebalance
2001-09-30,2001-10-31,long,US_Market_SeasonalTilt,100.0,103.24,0.0324,monthly_rebalance
2001-10-31,2001-11-30,long,US_Market_SeasonalTilt,100.0,109.24,0.0924,monthly_rebalance
2001-11-30,2001-12-31,long,US_Market_SeasonalTilt,100.0,102.112,0.02112,monthly_rebalance
2001-12-31,2002-01-31,long,US_Market_SeasonalTilt,100.0,98.44,-0.0156,monthly_rebalance
2002-01-31,2002-02-28,long,US_Market_SeasonalTilt,100.0,97.42,-0.0258,monthly_rebalance
2002-02-28,2002-03-31,long,US_Market_SeasonalTilt,100.0,103.496,0.03496,monthly_rebalance
2002-03-31,2002-04-30,long,US_Market_SeasonalTilt,100.0,95.952,-0.04048,monthly_rebalance
2002-04-30,2002-05-31,long,US_Market_SeasonalTilt,100.0,98.536,-0.01464,monthly_rebalance
2002-05-31,2002-06-30,long,US_Market_SeasonalTilt,100.0,94.32,-0.0568,monthly_rebalance
2002-06-30,2002-07-31,long,US_Market_SeasonalTilt,100.0,90.352,-0.09648,monthly_rebalance
2002-07-31,2002-08-31,long,US_Market_SeasonalTilt,100.0,100.512,0.00512,monthly_rebalance
2002-08-31,2002-09-30,long,US_Market_SeasonalTilt,100.0,91.84,-0.0816,monthly_rebalance
2002-09-30,2002-10-31,long,US_Market_SeasonalTilt,100.0,106.384,0.06384,monthly_rebalance
2002-10-31,2002-11-30,long,US_Market_SeasonalTilt,100.0,107.296,0.07296,monthly_rebalance
2002-11-30,2002-12-31,long,US_Market_SeasonalTilt,100.0,93.22,-0.0678,monthly_rebalance
2002-12-31,2003-01-31,long,US_Market_SeasonalTilt,100.0,97.036,-0.02964,monthly_rebalance
2003-01-31,2003-02-28,long,US_Market_SeasonalTilt,100.0,97.852,-0.02148,monthly_rebalance
