entry_time,exit_time,direction,instrument,entry_price,exit_price,pct_return_gross,exit_reason
1990-01-31,1990-01-31,long,US_TopQuintile_DivYield,100.0,93.185,-0.06815,monthly_rebalance
1990-01-31,1990-02-28,long,US_TopQuintile_DivYield,100.0,102.005,0.02005,monthly_rebalance
1990-02-28,1990-03-31,long,US_TopQuintile_DivYield,100.0,101.02,0.0102,monthly_rebalance
1990-03-31,1990-04-30,long,US_TopQuintile_DivYield,100.0,96.045,-0.03955,monthly_rebalance
1990-04-30,1990-05-31,long,US_TopQuintile_DivYield,100.0,107.175,0.07175,monthly_rebalance
1990-05-31,1990-06-30,long,US_TopQuintile_DivYield,100.0,98.54,-0.0146,monthly_rebalance
1990-06-30,1990-07-31,long,US_TopQuintile_DivYield,100.0,98.75,-0.0125,monthly_rebalance
1990-07-31,1990-08-31,long,US_TopQuintile_DivYield,100.0,91.31,-0.0869,monthly_rebalance
1990-08-31,1990-09-30,long,US_TopQuintile_DivYield,100.0,94.785,-0.05215,monthly_rebalance
1990-09-30,1990-10-31,long,US_TopQuintile_DivYield,100.0,98.81,-0.0119,monthly_rebalance
1990-10-31,1990-11-30,long,US_TopQuintile_DivYield,100.0,105.435,0.05435,monthly_rebalance
1990-11-30,1990-12-31,long,US_TopQuintile_DivYield,100.0,102.295,0.02295,monthly_rebalance
1990-12-31,1991-01-31,long,US_TopQuintile_DivYield,100.0,104.47,0.0447,monthly_rebalance
1991-01-31,1991-02-28,long,US_TopQuintile_DivYield,100.0,107.38,0.0738,monthly_rebalance
1991-02-28,1991-03-31,long,US_TopQuintile_DivYield,100.0,102.46,0.0246,monthly_rebalance
1991-03-31,1991-04-30,long,US_TopQuintile_DivYield,100.0,100.985,0.00985,monthly_rebalance
1991-04-30,1991-05-31,long,US_TopQuintile_DivYield,100.0,103.87,0.0387,monthly_rebalance
1991-05-31,1991-06-30,long,US_TopQuintile_DivYield,100.0,96.02,-0.0398,monthly_rebalance
1991-06-30,1991-07-31,long,US_TopQuintile_DivYield,100.0,104.08,0.0408,monthly_rebalance
1991-07-31,1991-08-31,long,US_TopQuintile_DivYield,100.0,102.385,0.02385,monthly_rebalance
1991-08-31,1991-09-30,long,US_TopQuintile_DivYield,100.0,98.255,-0.01745,monthly_rebalance
1991-09-30,1991-10-31,long,US_TopQuintile_DivYield,100.0,101.495,0.01495,monthly_rebalance
1991-10-31,1991-11-30,long,US_TopQuintile_DivYield,100.0,95.305,-0.04695,monthly_rebalance
1991-11-30,1991-12-31,long,US_TopQuintile_DivYield,100.0,109.125,0.09125,monthly_rebalance
1991-12-31,1992-01-31,long,US_TopQuintile_DivYield,100.0,102.085,0.02085,monthly_rebalance
1992-01-31,1992-02-29,long,US_TopQuintile_DivYield,100.0,104.625,0.04625,monthly_rebalance
1992-02-29,1992-03-31,long,US_TopQuintile_DivYield,100.0,99.425,-0.00575,monthly_rebalance
1992-03-31,1992-04-30,long,US_TopQuintile_DivYield,100.0,103.59,0.0359,monthly_rebalance
1992-04-30,1992-05-31,long,US_TopQuintile_DivYield,100.0,101.135,0.01135,monthly_rebalance
1992-05-31,1992-06-30,long,US_TopQuintile_DivYield,100.0,99.61,-0.0039,monthly_rebalance
1992-06-30,1992-07-31,long,US_TopQuintile_DivYield,100.0,103.835,0.03835,monthly_rebalance
1992-07-31,1992-08-31,long,US_TopQuintile_DivYield,100.0,97.335,-0.02665,monthly_rebalance
1992-08-31,1992-09-30,long,US_TopQuintile_DivYield,100.0,101.355,0.01355,monthly_rebalance
1992-09-30,1992-10-31,long,US_TopQuintile_DivYield,100.0,100.26,0.0026,monthly_rebalance
1992-10-31,1992-11-30,long,US_TopQuintile_DivYield,100.0,103.61,0.0361,monthly_rebalance
1992-11-30,1992-12-31,long,US_TopQuintile_DivYield,100.0,103.13,0.0313,monthly_rebalance
1992-12-31,1993-01-31,long,US_TopQuintile_DivYield,100.0,104.11,0.0411,monthly_rebalance
1993-01-31,1993-02-28,long,US_TopQuintile_DivYield,100.0,103.58,0.0358,monthly_rebalance
1993-02-28,1993-03-31,long,US_TopQuintile_DivYield,100.0,103.2,0.032,monthly_rebalance
1993-03-31,1993-04-30,long,US_TopQuintile_DivYield,100.0,98.465,-0.01535,monthly_rebalance
1993-04-30,1993-05-31,long,US_TopQuintile_DivYield,100.0,101.38,0.0138,monthly_rebalance
1993-05-31,1993-06-30,long,US_TopQuintile_DivYield,100.0,101.87,0.0187,monthly_rebalance
1993-06-30,1993-07-31,long,US_TopQuintile_DivYield,100.0,101.335,0.01335,monthly_rebalance
1993-07-31,1993-08-31,long,US_TopQuintile_DivYield,100.0,104.06,0.0406,monthly_rebalance
1993-08-31,1993-09-30,long,US_TopQuintile_DivYield,100.0,100.02,0.0002,monthly_rebalance
1993-09-30,1993-10-31,long,US_TopQuintile_DivYield,100.0,100.24,0.0024,monthly_rebalance
1993-10-31,1993-11-30,long,US_TopQuintile_DivYield,100.0,98.0,-0.02,monthly_rebalance
1993-11-30,1993-12-31,long,US_TopQuintile_DivYield,100.0,102.005,0.02005,monthly_rebalance
1993-12-31,1994-01-31,long,US_TopQuintile_DivYield,100.0,103.67,0.0367,monthly_rebalance
1994-01-31,1994-02-28,long,US_TopQuintile_DivYield,100.0,96.9,-0.031,monthly_rebalance
1994-02-28,1994-03-31,long,US_TopQuintile_DivYield,100.0,96.315,-0.03685,monthly_rebalance
1994-03-31,1994-04-30,long,US_TopQuintile_DivYield,100.0,101.78,0.0178,monthly_rebalance
1994-04-30,1994-05-31,long,US_TopQuintile_DivYield,100.0,101.2,0.012,monthly_rebalance
1994-05-31,1994-06-30,long,US_TopQuintile_DivYield,100.0,98.155,-0.01845,monthly_rebalance
1994-06-30,1994-07-31,long,US_TopQuintile_DivYield,100.0,103.405,0.03405,monthly_rebalance
1994-07-31,1994-08-31,long,US_TopQuintile_DivYield,100.0,103.115,0.03115,monthly_rebalance
1994-08-31,1994-09-30,long,US_TopQuintile_DivYield,100.0,97.185,-0.02815,monthly_rebalance
1994-09-30,1994-10-31,long,US_TopQuintile_DivYield,100.0,100.9,0.009,monthly_rebalance
1994-10-31,1994-11-30,long,US_TopQuintile_DivYield,100.0,95.975,-0.04025,monthly_rebalance
1994-11-30,1994-12-31,long,US_TopQuintile_DivYield,100.0,101.255,0.01255,monthly_rebalance
1994-12-31,1995-01-31,long,US_TopQuintile_DivYield,100.0,103.515,0.03515,monthly_rebalance
1995-01-31,1995-02-28,long,US_TopQuintile_DivYield,100.0,104.525,0.04525,monthly_rebalance
1995-02-28,1995-03-31,long,US_TopQuintile_DivYield,100.0,101.585,0.01585,monthly_rebalance
1995-03-31,1995-04-30,long,US_TopQuintile_DivYield,100.0,103.385,0.03385,monthly_rebalance
1995-04-30,1995-05-31,long,US_TopQuintile_DivYield,100.0,104.58,0.0458,monthly_rebalance
1995-05-31,1995-06-30,long,US_TopQuintile_DivYield,100.0,101.92,0.0192,monthly_rebalance
1995-06-30,1995-07-31,long,US_TopQuintile_DivYield,100.0,103.37,0.0337,monthly_rebalance
1995-07-31,1995-08-31,long,US_TopQuintile_DivYield,100.0,102.36,0.0236,monthly_rebalance
1995-08-31,1995-09-30,long,US_TopQuintile_DivYield,100.0,103.735,0.03735,monthly_rebalance
1995-09-30,1995-10-31,long,US_TopQuintile_DivYield,100.0,98.715,-0.01285,monthly_rebalance
1995-10-31,1995-11-30,long,US_TopQuintile_DivYield,100.0,104.64,0.0464,monthly_rebalance
1995-11-30,1995-12-31,long,US_TopQuintile_DivYield,100.0,101.65,0.0165,monthly_rebalance
1995-12-31,1996-01-31,long,US_TopQuintile_DivYield,100.0,102.92,0.0292,monthly_rebalance
1996-01-31,1996-02-29,long,US_TopQuintile_DivYield,100.0,101.195,0.01195,monthly_rebalance
1996-02-29,1996-03-31,long,US_TopQuintile_DivYield,100.0,101.34,0.0134,monthly_rebalance
1996-03-31,1996-04-30,long,US_TopQuintile_DivYield,100.0,100.525,0.00525,monthly_rebalance
1996-04-30,1996-05-31,long,US_TopQuintile_DivYield,100.0,102.33,0.0233,monthly_rebalance
1996-05-31,1996-06-30,long,US_TopQuintile_DivYield,100.0,100.435,0.00435,monthly_rebalance
1996-06-30,1996-07-31,long,US_TopQuintile_DivYield,100.0,97.085,-0.02915,monthly_rebalance
1996-07-31,1996-08-31,long,US_TopQuintile_DivYield,100.0,102.77,0.0277,monthly_rebalance
1996-08-31,1996-09-30,long,US_TopQuintile_DivYield,100.0,104.08,0.0408,monthly_rebalance
1996-09-30,1996-10-31,long,US_TopQuintile_DivYield,100.0,103.73,0.0373,monthly_rebalance
1996-10-31,1996-11-30,long,US_TopQuintile_DivYield,100.0,107.36,0.0736,monthly_rebalance
1996-11-30,1996-12-31,long,US_TopQuintile_DivYield,100.0,99.4,-0.006,monthly_rebalance
1996-12-31,1997-01-31,long,US_TopQuintile_DivYield,100.0,104.7,0.047,monthly_rebalance
1997-01-31,1997-02-28,long,US_TopQuintile_DivYield,100.0,102.715,0.02715,monthly_rebalance
1997-02-28,1997-03-31,long,US_TopQuintile_DivYield,100.0,97.105,-0.02895,monthly_rebalance
1997-03-31,1997-04-30,long,US_TopQuintile_DivYield,100.0,104.47,0.0447,monthly_rebalance
1997-04-30,1997-05-31,long,US_TopQuintile_DivYield,100.0,105.165,0.05165,monthly_rebalance
1997-05-31,1997-06-30,long,US_TopQuintile_DivYield,100.0,105.19,0.0519,monthly_rebalance
1997-06-30,1997-07-31,long,US_TopQuintile_DivYield,100.0,107.805,0.07805,monthly_rebalance
1997-07-31,1997-08-31,long,US_TopQuintile_DivYield,100.0,96.885,-0.03115,monthly_rebalance
1997-08-31,1997-09-30,long,US_TopQuintile_DivYield,100.0,105.9,0.059,monthly_rebalance
1997-09-30,1997-10-31,long,US_TopQuintile_DivYield,100.0,97.775,-0.02225,monthly_rebalance
1997-10-31,1997-11-30,long,US_TopQuintile_DivYield,100.0,103.99,0.0399,monthly_rebalance
1997-11-30,1997-12-31,long,US_TopQuintile_DivYield,100.0,103.71,0.0371,monthly_rebalance
1997-12-31,1998-01-31,long,US_TopQuintile_DivYield,100.0,99.73,-0.0027,monthly_rebalance
1998-01-31,1998-02-28,long,US_TopQuintile_DivYield,100.0,106.965,0.06965,monthly_rebalance
1998-02-28,1998-03-31,long,US_TopQuintile_DivYield,100.0,105.84,0.0584,monthly_rebalance
1998-03-31,1998-04-30,long,US_TopQuintile_DivYield,100.0,101.685,0.01685,monthly_rebalance
1998-04-30,1998-05-31,long,US_TopQuintile_DivYield,100.0,99.055,-0.00945,monthly_rebalance
1998-05-31,1998-06-30,long,US_TopQuintile_DivYield,100.0,102.605,0.02605,monthly_rebalance
1998-06-30,1998-07-31,long,US_TopQuintile_DivYield,100.0,97.065,-0.02935,monthly_rebalance
1998-07-31,1998-08-31,long,US_TopQuintile_DivYield,100.0,86.165,-0.13835,monthly_rebalance
1998-08-31,1998-09-30,long,US_TopQuintile_DivYield,100.0,104.895,0.04895,monthly_rebalance
1998-09-30,1998-10-31,long,US_TopQuintile_DivYield,100.0,106.135,0.06135,monthly_rebalance
1998-10-31,1998-11-30,long,US_TopQuintile_DivYield,100.0,104.76,0.0476,monthly_rebalance
