category,instrument,bond_duration_carry,bond_trend,commodity_trend,donchian_channel,ibs_mean_reversion,quality_timing,reit_dividend_carry,sentiment_timing,turn_of_month,vix_mean_reversion,vol_overlay,yield_curve_duration
bonds_intl,EMB,0.787,0.279,,0.395,,,,,,,0.444,
bonds_us,HYG,0.795,0.295,,0.091,0.224,,,,,,0.77,0.455
bonds_us,IEF,0.376,0.295,,0.155,-0.637,,,,,,0.136,0.189
bonds_us,LQD,0.69,0.478,,0.549,0.04,,,,,,0.397,0.309
bonds_us,SHY,,1.422,,0.876,-2.883,,,,,,0.961,0.742
bonds_us,TIP,0.571,0.464,,0.332,-0.16,,,,,,0.478,
bonds_us,TLT,0.222,-0.031,,-0.064,0.009,,,,,,0.07,0.074
commodities,GDX,,,0.199,0.431,0.348,,,,,,0.436,
commodities,GLD,,,0.54,0.482,0.568,,,,,,0.854,
commodities,PDBC,,,0.252,0.281,0.174,,,,,,0.31,
commodities,SLV,,,0.167,0.096,-0.234,,,,,,0.36,
commodities,USO,,,0.19,0.289,-0.108,,,,,,0.152,
currencies,FXB,,,,-0.281,,,,,,,-0.086,
currencies,FXC,,,,-0.001,,,,,,,0.061,
em_country,EWW,,,,-0.038,0.437,0.293,,0.215,0.076,,0.12,
em_country,INDA,,,,0.392,0.481,0.534,,0.505,0.661,,0.404,
em_regional,EEM,,,,0.421,0.099,0.425,,0.372,0.395,,0.261,
intl_developed_regional,EFA,,,,0.236,0.204,0.48,,0.448,0.15,,0.295,
intl_developed_regional,EZU,,,,0.392,0.017,0.461,,0.415,0.272,,0.295,
real_assets,AMLP,,,,0.743,0.238,,0.431,,0.835,,-0.019,
real_assets,VNQ,,,,0.286,0.516,,0.016,,0.599,,0.262,
real_assets,VNQI,,,,0.395,-0.142,,0.221,,0.481,,0.182,
us_equity_broad,IWM,,,,0.554,0.476,0.459,,0.342,0.158,0.537,0.278,
us_equity_broad,MDY,,,,0.542,0.168,0.542,,0.459,0.293,0.488,0.379,
us_equity_broad,QQQ,,,,0.868,0.401,0.862,,0.95,0.484,0.58,0.983,
us_equity_broad,SPY,,,,0.92,0.332,0.796,,0.894,0.469,0.486,0.869,
us_factor,DVY,,,,0.524,0.166,0.587,,0.61,0.339,0.334,0.531,
us_factor,IWD,,,,0.602,0.177,0.602,,0.639,0.429,0.359,0.517,
us_factor,IWF,,,,0.868,0.797,0.835,,0.965,0.458,0.553,1.018,
us_factor,MTUM,,,,0.728,0.355,0.722,,0.834,0.293,0.559,0.865,
us_factor,PKW,,,,0.836,0.415,0.658,,0.625,0.313,0.43,0.587,
us_factor,USMV,,,,0.803,0.65,0.736,,0.983,0.519,0.305,0.92,
us_sectors,XLB,,,,0.364,0.487,0.558,,0.41,0.472,0.47,0.352,
us_sectors,XLC,,,,0.394,0.684,0.569,,0.626,0.825,0.437,0.671,
us_sectors,XLE,,,,0.378,0.132,0.397,,0.268,0.274,0.335,0.152,
us_sectors,XLF,,,,0.292,0.217,0.533,,0.533,0.359,0.296,0.34,
us_sectors,XLI,,,,0.463,0.574,0.697,,0.701,0.439,0.479,0.622,
us_sectors,XLK,,,,0.924,0.519,0.902,,0.998,0.343,0.654,1.013,
us_sectors,XLP,,,,0.331,0.376,0.551,,0.618,0.402,0.241,0.535,
us_sectors,XLRE,,,,0.398,0.205,0.368,0.052,0.497,0.633,0.036,0.357,
us_sectors,XLU,,,,-0.154,0.137,0.575,0.207,0.734,0.429,0.234,0.656,
us_sectors,XLV,,,,0.346,-0.069,0.568,,0.505,0.627,0.322,0.54,
us_sectors,XLY,,,,0.595,0.362,0.607,,0.681,0.288,0.394,0.763,
