strategy,category,n_instruments,sharpe_ew,sharpe_invvol,tstat_ew,tstat_invvol,cagr_ew,cagr_invvol,maxdd_ew,maxdd_invvol,pass_ew,pass_invvol,instruments_used
cross_asset_momentum,all_68,68,0.6873,0.6873,2.2139,2.2139,9.745,9.745,-26.168,-26.168,True,True,"AMLP,BIL,BNDX,DBC,DVY,EEM,EFA,EMB,EWA,EWC,EWD,EWG,EWI,EWJ,EWL,EWP,EWQ,EWT,EWU,EWW,EWY,EWZ,EZU,FXA,FXB,FXC,FXE,FXF,FXY,GDX,GLD,HYG,IEF,INDA,IWD,IWF,IWM,LQD,MCHI,MDY,MTUM,PDBC,PKW,QQQ,QUAL,SHY,SLV,SPY,TIP,TLT,TUR,UNG,USMV,USO,UUP,VNQ,VNQI,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY"
cross_asset_carry,all_68,68,0.6123,0.6123,1.9724,1.9724,7.054,7.054,-23.197,-23.197,False,False,"AMLP,BIL,BNDX,DBC,DVY,EEM,EFA,EMB,EWA,EWC,EWD,EWG,EWI,EWJ,EWL,EWP,EWQ,EWT,EWU,EWW,EWY,EWZ,EZU,FXA,FXB,FXC,FXE,FXF,FXY,GDX,GLD,HYG,IEF,INDA,IWD,IWF,IWM,LQD,MCHI,MDY,MTUM,PDBC,PKW,QQQ,QUAL,SHY,SLV,SPY,TIP,TLT,TUR,UNG,USMV,USO,UUP,VNQ,VNQI,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY"
gtaa,gtaa_core,7,0.6436,0.6436,1.9813,1.9813,7.707,7.707,-26.94,-26.94,False,False,"SPY,EFA,EEM,TLT,GLD,VNQ,PDBC"
low_volatility,all_equity,40,0.6821,0.6821,2.1972,2.1972,8.884,8.884,-34.145,-34.145,True,True,"SPY,QQQ,IWM,MDY,IWF,USMV,MTUM,IWD,DVY,PKW,XLK,XLC,XLI,XLV,XLY,XLF,XLE,XLU,XLB,XLP,XLRE,EFA,EZU,EWJ,EWG,EWU,EWC,EWA,EWL,EWQ,EWI,EWP,EWD,EEM,EWZ,INDA,EWW,VNQ,VNQI,AMLP"
sentiment_timing,us_equity_broad,4,0.6939,0.7131,2.1357,2.1947,9.284,9.402,-22.806,-22.528,True,True,"SPY,QQQ,IWM,MDY"
sentiment_timing,us_factor,6,0.8538,0.8723,2.6277,2.6846,9.766,9.636,-18.065,-17.357,True,True,"IWF,USMV,MTUM,IWD,DVY,PKW"
sentiment_timing,us_sectors,11,0.6826,0.6872,1.8081,1.8201,7.396,7.074,-17.675,-16.777,False,False,"XLK,XLC,XLI,XLV,XLY,XLF,XLE,XLU,XLB,XLP,XLRE"
sentiment_timing,intl_developed,12,0.4941,0.5066,1.5207,1.5592,5.796,5.834,-23.216,-22.885,False,False,"EFA,EZU,EWJ,EWG,EWU,EWC,EWA,EWL,EWQ,EWI,EWP,EWD"
sentiment_timing,em_regional,4,0.4949,0.507,1.5232,1.5602,6.779,6.621,-21.166,-22.781,False,False,"EEM,EWZ,INDA,EWW"
quality_timing,us_equity_broad,4,0.6944,0.7105,2.1371,2.1868,12.311,12.495,-36.277,-36.306,True,True,"SPY,QQQ,IWM,MDY"
quality_timing,us_factor,6,0.7461,0.7602,2.2964,2.3397,11.807,11.765,-36.293,-36.128,True,True,"IWF,USMV,MTUM,IWD,DVY,PKW"
quality_timing,us_sectors,11,0.6412,0.6379,1.6984,1.6897,10.572,10.114,-36.318,-35.314,False,False,"XLK,XLC,XLI,XLV,XLY,XLF,XLE,XLU,XLB,XLP,XLRE"
quality_timing,intl_developed,12,0.508,0.5177,1.5634,1.5932,7.896,7.921,-38.352,-37.47,False,False,"EFA,EZU,EWJ,EWG,EWU,EWC,EWA,EWL,EWQ,EWI,EWP,EWD"
quality_timing,em_regional,4,0.4857,0.4904,1.495,1.5092,8.193,7.95,-47.04,-47.678,False,False,"EEM,EWZ,INDA,EWW"
turn_of_month,us_equity_broad,4,0.3667,0.3838,1.1285,1.1812,3.048,3.16,-18.534,-17.787,False,False,"SPY,QQQ,IWM,MDY"
turn_of_month,us_factor,6,0.423,0.4433,1.3018,1.3644,3.081,3.152,-12.82,-11.299,False,False,"IWF,USMV,MTUM,IWD,DVY,PKW"
turn_of_month,us_sectors,11,0.7527,0.7671,1.9938,2.0319,6.164,5.953,-10.33,-9.136,False,True,"XLK,XLC,XLI,XLV,XLY,XLF,XLE,XLU,XLB,XLP,XLRE"
turn_of_month,real_assets,3,0.851,0.7605,2.619,2.3405,6.303,5.238,-8.496,-9.177,True,True,"VNQ,VNQI,AMLP"
ibs_mean_reversion,us_equity_broad,4,0.4049,0.4284,1.2463,1.3187,3.796,3.874,-31.335,-28.496,False,False,"SPY,QQQ,IWM,MDY"
