strategy,instrument,category,note,cagr,sharpe,sortino,maxdd,calmar,n_days,start_date,end_date
ibs_mean_reversion,SPY,us_equity_broad,,2.79,0.3315,0.2499,-29.566,0.0944,2388,2016-01-04,2025-07-03
ibs_mean_reversion,QQQ,us_equity_broad,,4.508,0.4013,0.2744,-30.884,0.146,2388,2016-01-04,2025-07-03
ibs_mean_reversion,IWM,us_equity_broad,,5.686,0.4756,0.3614,-34.578,0.1645,2388,2016-01-04,2025-07-03
ibs_mean_reversion,MDY,us_equity_broad,,1.343,0.1682,0.1261,-39.55,0.0339,2388,2016-01-04,2025-07-03
ibs_mean_reversion,IWD,us_factor,,1.255,0.1774,0.1289,-30.522,0.0411,2388,2016-01-04,2025-07-03
ibs_mean_reversion,IWF,us_factor,,8.661,0.7973,0.6466,-19.319,0.4483,2388,2016-01-04,2025-07-03
ibs_mean_reversion,USMV,us_factor,,4.869,0.65,0.5555,-12.367,0.3937,2388,2016-01-04,2025-07-03
ibs_mean_reversion,MTUM,us_factor,,3.649,0.3551,0.2451,-32.121,0.1136,2388,2016-01-04,2025-07-03
ibs_mean_reversion,QUAL,us_factor,,6.15,0.6635,0.5411,-19.321,0.3183,2615,2016-01-04,2026-05-29
ibs_mean_reversion,DVY,us_factor,,1.223,0.1656,0.1163,-33.47,0.0365,2388,2016-01-04,2025-07-03
ibs_mean_reversion,PKW,us_factor,,4.155,0.4151,0.3219,-32.324,0.1285,2388,2016-01-04,2025-07-03
ibs_mean_reversion,XLK,us_sectors,,6.862,0.5193,0.3782,-24.789,0.2768,2388,2016-01-04,2025-07-03
ibs_mean_reversion,XLF,us_sectors,,2.031,0.217,0.1584,-39.486,0.0514,2388,2016-01-04,2025-07-03
ibs_mean_reversion,XLE,us_sectors,,0.797,0.1315,0.1095,-43.122,0.0185,2388,2016-01-04,2025-07-03
ibs_mean_reversion,XLV,us_sectors,,-0.946,-0.0692,-0.0575,-28.096,-0.0337,2388,2016-01-04,2025-07-03
ibs_mean_reversion,XLI,us_sectors,,5.744,0.5741,0.4559,-21.862,0.2627,2388,2016-01-04,2025-07-03
ibs_mean_reversion,XLP,us_sectors,,3.019,0.3761,0.309,-13.249,0.2279,2388,2016-01-04,2025-07-03
ibs_mean_reversion,XLY,us_sectors,,3.862,0.3617,0.2694,-33.38,0.1157,2388,2016-01-04,2025-07-03
ibs_mean_reversion,XLU,us_sectors,,0.913,0.1367,0.1119,-35.197,0.0259,2388,2016-01-04,2025-07-03
ibs_mean_reversion,XLB,us_sectors,,4.962,0.4869,0.419,-28.857,0.172,2388,2016-01-04,2025-07-03
ibs_mean_reversion,XLRE,us_sectors,,1.684,0.2049,0.1572,-22.742,0.0741,2388,2016-01-04,2025-07-03
ibs_mean_reversion,XLC,us_sectors,,7.933,0.6845,0.5893,-26.392,0.3006,1769,2018-06-19,2025-07-03
ibs_mean_reversion,EFA,intl_developed_regional,,1.678,0.2038,0.1434,-26.056,0.0644,2388,2016-01-04,2025-07-03
ibs_mean_reversion,EZU,intl_developed_regional,,-0.677,0.0169,0.012,-35.203,-0.0192,2388,2016-01-04,2025-07-03
ibs_mean_reversion,EWJ,intl_developed_country,,2.771,0.3123,0.2522,-21.668,0.1279,2615,2016-01-04,2026-05-29
ibs_mean_reversion,EWG,intl_developed_country,,0.055,0.0725,0.0537,-33.069,0.0017,2615,2016-01-04,2026-05-29
ibs_mean_reversion,EWU,intl_developed_country,,2.067,0.2396,0.1789,-24.946,0.0828,2615,2016-01-04,2026-05-29
ibs_mean_reversion,EWC,intl_developed_country,,-2.011,-0.1083,-0.0805,-50.073,-0.0402,2615,2016-01-04,2026-05-29
ibs_mean_reversion,EWA,intl_developed_country,,5.321,0.4779,0.4211,-22.797,0.2334,2615,2016-01-04,2026-05-29
ibs_mean_reversion,EWL,intl_developed_country,,0.364,0.089,0.0665,-22.118,0.0165,2615,2016-01-04,2026-05-29
ibs_mean_reversion,EWQ,intl_developed_country,,-2.91,-0.1551,-0.1133,-44.685,-0.0651,2615,2016-01-04,2026-05-29
ibs_mean_reversion,EWI,intl_developed_country,,2.338,0.2286,0.1713,-25.402,0.092,2615,2016-01-04,2026-05-29
ibs_mean_reversion,EWP,intl_developed_country,,5.455,0.4443,0.328,-28.216,0.1933,2615,2016-01-04,2026-05-29
ibs_mean_reversion,EWD,intl_developed_country,,-1.38,-0.0279,-0.024,-34.59,-0.0399,2615,2016-01-04,2026-05-29
ibs_mean_reversion,EEM,em_regional,,0.474,0.0987,0.0907,-37.604,0.0126,2388,2016-01-04,2025-07-03
ibs_mean_reversion,EWZ,em_country,,-0.635,0.0738,0.0574,-44.827,-0.0142,2615,2016-01-04,2026-05-29
ibs_mean_reversion,EWY,em_country,,7.27,0.5201,0.4962,-30.453,0.2387,2615,2016-01-04,2026-05-29
ibs_mean_reversion,EWT,em_country,,-1.847,-0.0631,-0.0476,-43.338,-0.0426,2615,2016-01-04,2026-05-29
ibs_mean_reversion,INDA,em_country,,5.752,0.4809,0.3761,-35.47,0.1622,2388,2016-01-04,2025-07-03
ibs_mean_reversion,MCHI,em_country,,7.23,0.5034,0.5458,-30.73,0.2353,2615,2016-01-04,2026-05-29
ibs_mean_reversion,EWW,em_country,,5.406,0.4366,0.4478,-22.207,0.2435,2388,2016-01-04,2025-07-03
ibs_mean_reversion,TUR,em_country,,3.221,0.2592,0.1917,-51.98,0.062,2615,2016-01-04,2026-05-29
ibs_mean_reversion,TLT,bonds_us,,-0.355,0.009,0.0086,-26.0,-0.0137,2388,2016-01-04,2025-07-03
ibs_mean_reversion,IEF,bonds_us,,-2.553,-0.637,-0.5977,-24.366,-0.1048,2388,2016-01-04,2025-07-03
ibs_mean_reversion,SHY,bonds_us,,-2.664,-2.8831,-2.7811,-22.611,-0.1178,2388,2016-01-04,2025-07-03
ibs_mean_reversion,TIP,bonds_us,,-0.704,-0.1605,-0.1407,-10.796,-0.0652,2388,2016-01-04,2025-07-03
ibs_mean_reversion,BIL,bonds_us,,-3.609,-11.2459,-16.9472,-31.768,-0.1136,2615,2016-01-04,2026-05-29
ibs_mean_reversion,LQD,bonds_us,,0.065,0.0402,0.0308,-14.511,0.0045,2388,2016-01-04,2025-07-03
ibs_mean_reversion,HYG,bonds_us,,1.013,0.2239,0.1959,-12.355,0.082,2388,2016-01-04,2025-07-03
ibs_mean_reversion,GLD,commodities,,4.353,0.5684,0.5056,-12.447,0.3497,2388,2016-01-04,2025-07-03
ibs_mean_reversion,SLV,commodities,,-4.628,-0.2336,-0.1862,-63.141,-0.0733,2388,2016-01-04,2025-07-03
ibs_mean_reversion,DBC,commodities,,0.75,0.1242,0.1089,-19.232,0.039,2615,2016-01-04,2026-05-29
ibs_mean_reversion,USO,commodities,,-5.566,-0.108,-0.0762,-79.605,-0.0699,2388,2016-01-04,2025-07-03
ibs_mean_reversion,UNG,commodities,,-10.804,-0.2104,-0.2161,-73.409,-0.1472,2615,2016-01-04,2026-05-29
ibs_mean_reversion,GDX,commodities,,5.622,0.3482,0.3281,-46.553,0.1208,2388,2016-01-04,2025-07-03
ibs_mean_reversion,PDBC,commodities,,1.294,0.174,0.1384,-21.59,0.0599,2388,2016-01-04,2025-07-03
ibs_mean_reversion,VNQ,real_assets,,5.224,0.5165,0.4182,-18.461,0.283,2388,2016-01-04,2025-07-03
ibs_mean_reversion,VNQI,real_assets,,-1.957,-0.1425,-0.0991,-34.404,-0.0569,2388,2016-01-04,2025-07-03
ibs_mean_reversion,AMLP,real_assets,,2.582,0.2384,0.1743,-39.46,0.0654,2388,2016-01-04,2025-07-03
donchian_channel,SPY,us_equity_broad,,9.631,0.9204,0.9284,-15.209,0.6332,2387,2016-01-05,2025-07-03
donchian_channel,QQQ,us_equity_broad,,11.952,0.868,0.9204,-24.138,0.4952,2387,2016-01-05,2025-07-03
donchian_channel,IWM,us_equity_broad,,7.672,0.5545,0.6277,-30.102,0.2549,2387,2016-01-05,2025-07-03
donchian_channel,MDY,us_equity_broad,,6.578,0.5422,0.58,-29.5,0.223,2387,2016-01-05,2025-07-03
donchian_channel,IWD,us_factor,,5.599,0.602,0.5883,-16.783,0.3336,2387,2016-01-05,2025-07-03
donchian_channel,IWF,us_factor,,10.987,0.8684,0.8916,-23.171,0.4742,2387,2016-01-05,2025-07-03
donchian_channel,USMV,us_factor,,6.734,0.8031,0.809,-14.872,0.4528,2387,2016-01-05,2025-07-03
