date,equity
2016-01-28,100697.4906907891
2016-01-29,102137.81933966152
2016-02-01,102337.66715432038
2016-02-02,102752.3864604738
2016-02-03,103592.2129496008
2016-02-04,103032.01591662054
2016-02-05,104383.70154380436
2016-02-08,104274.64883216347
2016-02-09,103960.74836598962
2016-02-10,103369.49428186675
2016-02-11,102458.36446603376
2016-02-12,102406.49459659314
2016-02-16,102474.3477981011
2016-02-17,103267.0450835218
2016-02-18,103486.4070173022
2016-02-19,103012.75585330918
2016-02-22,103457.1693127276
2016-02-23,103764.18776155708
2016-02-24,104079.12993587951
2016-02-25,104414.80449481797
2016-02-26,104285.52603076109
2016-02-29,104020.33364188108
2016-03-01,105989.05287151138
2016-03-02,106147.51268383913
2016-03-03,106176.76635028042
2016-03-04,105985.06836649864
2016-03-07,105511.04150920243
2016-03-08,105348.76883160658
2016-03-09,105310.32518245293
2016-03-10,105006.83242710562
2016-03-11,105864.99006536229
2016-03-14,106074.44048949641
2016-03-15,105889.52430011683
2016-03-16,106592.52837787177
2016-03-17,106563.64581620666
2016-03-18,106334.95107317659
2016-03-21,106639.07534978366
2016-03-22,107040.00284564983
2016-03-23,107111.5358927195
2016-03-24,106688.16509298242
2016-03-28,106441.79197400862
2016-03-29,107100.62769526494
2016-03-30,106959.92479271235
2016-03-31,106745.02191328158
2016-04-01,106742.4034517989
2016-04-04,106593.41136195588
2016-04-05,106251.53630056372
2016-04-06,106716.66148236691
2016-04-07,106930.13756912992
2016-04-08,107035.58897039342
2016-04-11,107163.88595092243
2016-04-12,107335.39889437851
2016-04-13,107608.78191430369
2016-04-14,107380.76134144745
2016-04-15,106987.98779900657
2016-04-18,106835.56837453636
2016-04-19,106952.57823403383
2016-04-20,106685.57302081863
2016-04-21,106494.11505103759
2016-04-22,106601.16293544468
2016-04-25,106329.75075893363
2016-04-26,106304.30909697361
2016-04-27,106230.809955288
2016-04-28,106728.63081521138
2016-04-29,106944.92767723279
2016-05-02,106805.96174282438
2016-05-03,106633.01886365881
2016-05-04,106360.06379742433
2016-05-05,106188.26611022511
2016-05-06,106058.95924286888
2016-05-09,106084.62481825426
2016-05-10,106664.45759604963
2016-05-11,106495.36207640189
2016-05-12,106893.44833280625
2016-05-13,106529.34833431918
2016-05-16,106951.87420461162
2016-05-17,107162.21218578465
2016-05-18,106746.50036463904
2016-05-19,106710.63926818174
2016-05-20,107062.38395739566
2016-05-23,106929.14009090455
2016-05-24,107716.32857853324
2016-05-25,107950.24339745399
2016-05-26,107873.19237189053
2016-05-27,108061.62061722211
2016-05-31,107841.54964798524
2016-06-01,107897.3255282635
2016-06-02,107894.03005440568
2016-06-03,107855.50145314766
2016-06-06,107811.58502780145
2016-06-07,107772.25181698751
2016-06-08,107449.37833433472
2016-06-09,107253.46635520949
2016-06-10,107322.24027779995
2016-06-13,107170.46320084536
2016-06-14,106941.88891234533
2016-06-15,106850.56159276969
2016-06-16,106589.55029552973
2016-06-17,106795.66008138955
2016-06-20,106939.12797771281
2016-06-21,106732.18889949375
2016-06-22,106606.22386243606
2016-06-23,107046.81149866924
2016-06-24,106724.65914836893
2016-06-27,107952.94859170832
2016-06-28,108785.98153979924
2016-06-29,109362.52071029031
2016-06-30,109770.92238695749
2016-07-01,110074.59500852939
2016-07-05,109909.20479593094
2016-07-06,109971.57038666225
2016-07-07,109916.17298793924
2016-07-08,110458.16946474525
2016-07-11,110708.72824074418
2016-07-12,110587.40348635938
2016-07-13,110571.05457102355
2016-07-14,110679.76352788963
2016-07-15,110414.42424737621
2016-07-18,110998.93013351929
2016-07-19,110889.64565767416
2016-07-20,111158.94465967354
2016-07-21,111017.29971986542
2016-07-22,112321.99223948026
2016-07-25,112063.60556304149
2016-07-26,112026.84680037391
2016-07-27,111820.2533642204
2016-07-28,111932.03259594906
2016-07-29,112518.08258324374
2016-08-01,112674.2139726334
2016-08-02,112595.1839867263
2016-08-03,112935.31467811044
2016-08-04,112929.96292020401
2016-08-05,113138.92231644764
2016-08-08,112975.9955266736
2016-08-09,112922.93731964515
2016-08-10,112773.65763299352
2016-08-11,112760.74274538539
2016-08-12,112646.24146294386
2016-08-15,112833.98204664951
2016-08-16,112910.50347406344
2016-08-17,112836.06841128222
2016-08-18,112743.2261352812
2016-08-19,112220.72176053266
2016-08-22,112170.50585034247
2016-08-23,112112.8824513985
2016-08-24,112309.67345010708
2016-08-25,112176.4379036144
2016-08-26,111837.49712787922
2016-08-29,111932.74684441398
2016-08-30,112297.34131080222
2016-08-31,112237.60283443412
2016-09-01,112221.3872321768
2016-09-02,112112.53611982452
2016-09-06,112333.86252773277
2016-09-07,112233.79128160376
2016-09-08,112284.35920927433
2016-09-09,112981.32380537897
2016-09-12,113406.47405331934
2016-09-13,113183.94135830736
2016-09-14,113088.31823794292
2016-09-15,113777.08270968351
2016-09-16,113457.28848329441
2016-09-19,113643.26877347357
2016-09-20,113242.78663825638
2016-09-21,113610.8549797207
2016-09-22,113711.57479417308
2016-09-23,113666.76097418611
2016-09-26,113518.68672133995
2016-09-27,113986.28714679995
2016-09-28,114017.18457145242
2016-09-29,114170.47139714134
2016-09-30,114116.47886707494
2016-10-03,113938.45043128908
2016-10-04,113702.02851194813
2016-10-05,113706.82789140668
2016-10-06,113527.77530578915
2016-10-07,113575.65765607546
2016-10-10,113737.53748581947
2016-10-11,114055.6570113364
2016-10-12,113981.69946315307
2016-10-13,113944.79034297365
2016-10-14,113814.26572767526
2016-10-17,113687.15006772747
2016-10-18,114031.43343768494
2016-10-19,113908.38333908812
2016-10-20,113624.10146882091
2016-10-21,113662.85223332686
2016-10-24,113898.64509560708
2016-10-25,113858.42660867648
2016-10-26,113512.52977575564
2016-10-27,113985.92566277039
2016-10-28,113834.91112703788
2016-10-31,114118.54854595232
2016-11-01,114652.50999194678
2016-11-02,114912.45957979643
2016-11-03,115055.51875241808
2016-11-04,115220.54806292219
2016-11-07,116240.73834024718
2016-11-08,116496.82376757746
2016-11-09,117365.2379567377
2016-11-10,116879.47484853002
2016-11-11,116668.46500704606
2016-11-14,116967.6282173862
2016-11-15,117337.45812386875
2016-11-16,117932.10355810708
2016-11-17,118095.63660664244
2016-11-18,118052.12913877095
2016-11-21,118465.41989549094
2016-11-22,118337.62764119009
2016-11-23,118107.77067584201
2016-11-25,118015.81880214211
2016-11-28,118055.84103977625
2016-11-29,117813.13956056598
2016-11-30,118245.55691938517
2016-12-01,119103.30160643399
2016-12-02,119107.03411708515
2016-12-05,119243.64306210722
2016-12-06,119516.64636964492
2016-12-07,120214.82917781967
2016-12-08,120076.6094100109
2016-12-09,119885.18024635852
2016-12-12,119694.44866318877
2016-12-13,120278.05880104945
2016-12-14,119952.09378832689
2016-12-15,119692.2034243363
2016-12-16,119676.93445103118
2016-12-19,119560.96955529651
2016-12-20,119473.07460381018
2016-12-21,119208.86649742485
2016-12-22,119175.33050573086
2016-12-23,118998.56956844621
2016-12-27,119183.79992595101
2016-12-28,119371.4459174442
2016-12-29,119390.34405328872
