date,equity
2016-01-27,100257.42690780865
2016-01-28,100101.0630463823
2016-01-29,101331.22870581712
2016-02-01,101503.66793110018
2016-02-02,101650.32025604042
2016-02-03,101569.43126469835
2016-02-04,101228.75186854965
2016-02-05,102823.07364375172
2016-02-08,102453.06656993188
2016-02-09,102068.65317485761
2016-02-10,101446.6410030036
2016-02-11,100713.74068245056
2016-02-12,100642.6570249627
2016-02-16,100664.14201232942
2016-02-17,101131.97882654342
2016-02-18,101199.21617540868
2016-02-19,100724.8132284683
2016-02-22,100780.05732558818
2016-02-23,100885.17091765982
2016-02-24,101225.5817513934
2016-02-25,101477.91450887008
2016-02-26,101546.0375983867
2016-02-29,101452.91226682178
2016-03-01,102327.49085382631
2016-03-02,102567.71887940938
2016-03-03,102286.24202091368
2016-03-04,102085.20070279173
2016-03-07,101913.73974079039
2016-03-08,101634.67706545372
2016-03-09,101558.06868546997
2016-03-10,101234.0109423746
2016-03-11,101520.3669971162
2016-03-14,101678.47350898293
2016-03-15,101545.00551157775
2016-03-16,102218.03206422586
2016-03-17,102464.62415993278
2016-03-18,102459.34321643146
2016-03-21,102466.83733778837
2016-03-22,102808.0602486777
2016-03-23,102772.57597542835
2016-03-24,102437.49246958834
2016-03-28,102152.23335837323
2016-03-29,102745.37971803424
2016-03-30,102659.40863917096
2016-03-31,102734.80858096258
2016-04-01,103059.69118704417
2016-04-04,103088.75915068161
2016-04-05,102857.12109655912
2016-04-06,103094.00011716314
2016-04-07,103299.58038600966
2016-04-08,103175.61901181014
2016-04-11,103099.95450887173
2016-04-12,103392.05209715736
2016-04-13,103489.17656439758
2016-04-14,103252.30539378487
2016-04-15,103180.59475284569
2016-04-18,103438.97811639639
2016-04-19,103521.01640947544
2016-04-20,103369.19316559841
2016-04-21,103145.59759563851
2016-04-22,103264.94678513407
2016-04-25,103156.52775447814
2016-04-26,103011.14434174527
2016-04-27,102900.73764318897
2016-04-28,103094.21620531283
2016-04-29,103139.53478468952
2016-05-02,103093.1129558711
2016-05-03,102944.8863932093
2016-05-04,102685.95308274453
2016-05-05,102717.82690004552
2016-05-06,102630.09027981013
2016-05-09,102526.38742365294
2016-05-10,102904.26516072443
