date,equity
2016-01-27,100213.7584336308
2016-01-28,100484.58198279806
2016-01-29,101140.55365882866
2016-02-01,101192.22062349656
2016-02-02,101273.98114638227
2016-02-03,101276.5529195687
2016-02-04,101073.34936768768
2016-02-05,101520.84191311146
2016-02-08,101105.59964040382
2016-02-09,100865.22804877453
2016-02-10,100211.41455819365
2016-02-11,99863.11896345421
2016-02-12,100197.59133937136
2016-02-16,100212.25913541607
2016-02-17,100452.17108329109
2016-02-18,100433.54887714138
2016-02-19,100239.24067771439
2016-02-22,100392.49453764924
2016-02-23,100204.86424269615
2016-02-24,100742.70765906255
2016-02-25,100942.45307470315
2016-02-26,101421.59799980784
2016-02-29,101634.0126306238
2016-03-01,102758.09080931531
2016-03-02,102920.76560787151
2016-03-03,103047.55435718868
2016-03-04,102853.696988829
2016-03-07,102609.59539439698
2016-03-08,102498.6162163913
2016-03-09,102460.2916571615
2016-03-10,102538.0411949699
2016-03-11,102911.7503383529
2016-03-14,102912.00635335156
2016-03-15,102727.92592811486
2016-03-16,103221.16845533269
2016-03-17,103438.2391005593
2016-03-18,103339.94712414299
2016-03-21,103353.1764727641
2016-03-22,103494.8963692006
2016-03-23,103287.88085888441
2016-03-24,103203.7439970303
2016-03-28,103052.02784741996
2016-03-29,103415.72613115642
2016-03-30,103271.25537779283
2016-03-31,103008.8229673806
2016-04-01,103204.97450379224
2016-04-04,103009.44456160178
2016-04-05,102874.05918557108
2016-04-06,103224.63306947572
2016-04-07,103732.83714150284
2016-04-08,104054.81293320675
2016-04-11,104097.96347213087
2016-04-12,104469.22319655186
2016-04-13,104540.04944344431
2016-04-14,104411.45296146917
2016-04-15,104338.3216940804
2016-04-18,104494.274812862
2016-04-19,104611.52910323757
2016-04-20,104528.49360535943
2016-04-21,104330.98277418234
2016-04-22,104361.10791195463
2016-04-25,104354.88822179071
2016-04-26,104362.65025916202
2016-04-27,104300.10374750875
2016-04-28,104288.2942186657
2016-04-29,104155.70013863573
2016-05-02,104099.30867022186
2016-05-03,103701.71871768727
2016-05-04,103559.1648348213
2016-05-05,103489.51165144709
2016-05-06,103542.23233709513
2016-05-09,103532.74543504918
2016-05-10,103784.42004267804
2016-05-11,103816.62537300735
2016-05-12,103673.35465465719
2016-05-13,103680.02935320995
2016-05-16,104054.14218617517
2016-05-17,103835.86883388399
2016-05-18,103474.90163775093
2016-05-19,103258.36001768817
2016-05-20,103377.07460524155
2016-05-23,103378.35368999706
2016-05-24,103815.17063235086
2016-05-25,103983.7579535918
2016-05-26,103907.51373290393
2016-05-27,103933.44638260562
2016-05-31,103866.58841791566
2016-06-01,103978.63750016887
2016-06-02,103996.70580031662
2016-06-03,104052.83599681276
2016-06-06,104055.949247479
2016-06-07,104128.67770058023
2016-06-08,103980.87614947886
2016-06-09,103853.44104147347
2016-06-10,103461.67098402255
2016-06-13,103354.87605796852
2016-06-14,103202.45228236285
2016-06-15,103121.56627254598
2016-06-16,103206.50154361705
2016-06-17,103323.1528520153
2016-06-20,103213.78873649352
2016-06-21,103325.6870940932
2016-06-22,103372.03872712381
2016-06-23,103772.11240118396
2016-06-24,103814.88664921468
2016-06-27,104760.53879739712
2016-06-28,105105.54177430019
2016-06-29,105508.5518083918
2016-06-30,105672.39910544903
2016-07-01,105765.14415594691
2016-07-05,105638.01113284283
2016-07-06,105691.06791871962
2016-07-07,105612.98875478728
2016-07-08,105847.12024227889
2016-07-11,105938.08581978867
2016-07-12,105827.2256455641
2016-07-13,106094.75337149423
2016-07-14,106111.12331409562
2016-07-15,106033.54001008101
2016-07-18,106154.51892678025
2016-07-19,106029.98879673376
2016-07-20,106239.88423678195
2016-07-21,106207.6146649479
2016-07-22,107119.48220676264
2016-07-25,107120.85092458199
2016-07-26,107133.41154910914
2016-07-27,107060.69998637703
2016-07-28,107083.99815255469
2016-07-29,107544.63755241399
2016-08-01,107557.23911776778
2016-08-02,107408.98521199917
2016-08-03,107694.79180883936
2016-08-04,107678.14161581482
2016-08-05,107781.34092163022
2016-08-08,107708.89984692562
2016-08-09,107680.1774340214
2016-08-10,107543.18172586912
2016-08-11,107540.87388451974
2016-08-12,107548.22323052202
2016-08-15,107659.19929773729
2016-08-16,107540.05559300778
2016-08-17,107411.75637609266
2016-08-18,107273.18646512556
2016-08-19,107087.91537790737
2016-08-22,107050.1943377882
2016-08-23,107187.23685697386
2016-08-24,107134.95185696405
2016-08-25,107116.51419384318
2016-08-26,107071.10574008033
2016-08-29,107161.88584359594
2016-08-30,107304.21913728901
2016-08-31,107350.88198022093
2016-09-01,107252.39919215736
