date,equity
2016-06-15,100598.51306392107
2016-06-16,101832.35625462407
2016-06-17,101826.20217594787
2016-06-20,105808.927512569
2016-06-21,105959.24841307016
2016-06-22,106237.65593193418
2016-06-23,106653.73608358821
2016-06-24,103334.30317318803
2016-06-27,102948.9507428822
2016-06-28,104992.71948993734
2016-06-29,107991.44653152408
2016-06-30,110012.69272110792
2016-07-01,111369.9941762559
2016-07-05,111478.40686307824
2016-07-06,111845.56375930832
2016-07-07,112811.40929996525
2016-07-08,113681.79004649408
2016-07-11,114382.03402911827
2016-07-12,115008.65720483846
2016-07-13,115597.26906590944
2016-07-14,115711.30082890278
2016-07-15,116087.07179897255
2016-07-18,116784.23095050878
2016-07-19,116852.27414139156
2016-07-20,117279.50360124218
2016-07-21,117020.47175255259
2016-07-22,117405.40028771691
2016-07-25,117223.48681352376
2016-07-26,117690.52920402474
2016-07-27,117876.27865587118
2016-07-28,117876.19122935896
2016-07-29,118060.17813876754
2016-08-01,117754.6933288079
2016-08-02,117143.04427608513
2016-08-03,117884.62832298754
2016-08-04,118213.10607021984
2016-08-05,119040.5073861702
2016-08-08,119101.80143329519
2016-08-09,119048.00153874853
2016-08-10,119070.11563856131
2016-08-11,118949.70782938838
2016-08-12,118823.30150608771
2016-08-15,119000.40497321666
2016-08-16,118841.8200687337
2016-08-17,119371.01616458998
2016-08-18,119806.50135417377
2016-08-19,119953.4804892675
2016-08-22,120140.23778896323
2016-08-23,120404.94046558306
2016-08-24,119693.49745750138
2016-08-25,119706.07253115102
2016-08-26,119917.50367855594
2016-08-29,120032.33921002265
2016-08-30,119759.99590630995
2016-08-31,119272.80830350824
2016-09-01,119836.8352541734
2016-09-02,120251.82750387686
2016-09-06,120763.82326351451
2016-09-07,121026.36367353333
2016-09-08,119498.93197273786
2016-09-09,118403.48910777213
2016-09-12,118342.1546783727
2016-09-13,118342.96428444205
2016-09-14,119065.67922892133
2016-09-15,121366.66686905155
2016-09-16,122586.47693333002
2016-09-19,124597.80102541855
2016-09-20,125150.08010609893
2016-09-21,126145.84052665319
2016-09-22,126001.01542467989
2016-09-23,125340.39803872239
2016-09-26,124900.50323353999
2016-09-27,125997.2246647901
2016-09-28,125772.43221707825
2016-09-29,125772.2425089736
2016-09-30,126224.50735000608
2016-10-03,125335.42697643775
2016-10-04,125652.68546627217
2016-10-05,126148.55578560478
2016-10-06,125536.36723660817
2016-10-07,124864.9120520831
2016-10-10,124623.6996130643
2016-10-11,123548.09459441842
2016-10-12,123667.97187114849
2016-10-13,123336.12339593796
2016-10-14,123295.8790596734
