date,equity
2017-09-30,100870.39125757029
2017-10-31,102564.55506621936
2017-11-30,105041.20471112286
2017-12-31,106598.7355404278
2018-01-31,111182.87115564547
2018-02-28,112766.19178973844
2018-03-31,112837.67687158853
2018-04-30,114853.64145031714
2018-05-31,115030.98635167623
2018-06-30,115902.11338256062
2018-07-31,120140.04627945647
2018-08-31,120674.02633523989
2018-09-30,120974.48440657406
2018-10-31,122252.49057458907
2018-11-30,124499.98227144574
2018-12-31,125777.71581381954
2019-01-31,128716.29504453718
2019-02-28,130100.78783211965
2019-03-31,132578.95739605482
2019-04-30,134977.45613612718
2019-05-31,136014.89136371
2019-06-30,140646.35344515886
2019-07-31,145954.83104018928
2019-08-31,148813.81133164745
2019-09-30,149528.31294568675
2019-10-31,152767.01209247526
2019-11-30,154912.61107321468
2019-12-31,158825.55794974536
2020-01-31,159243.5963573631
2020-02-29,155244.66815668368
2020-03-31,159717.41613246608
2020-04-30,167965.42300415496
2020-05-31,171740.28210604307
2020-06-30,176330.65027039536
2020-07-31,179609.7692423619
2020-08-31,187187.7038905441
2020-09-30,189905.42328498678
2020-10-31,190958.16689227006
2020-11-30,199025.2636952683
2020-12-31,203781.99455070938
2021-01-31,209747.28615037142
2021-02-28,215962.0400157682
2021-03-31,225659.18321909505
2021-04-30,233131.74129486055
2021-05-31,238870.23824609167
2021-06-30,241199.37244193035
2021-07-31,244936.28807138212
2021-08-31,248307.26674791626
2021-09-30,250548.5224158955
2021-10-31,257380.6687456302
2021-11-30,258030.7956769774
2021-12-31,268211.94141824817
2022-01-31,269758.7088460428
2022-02-28,276378.5438847531
2022-03-31,289008.73915677605
2022-04-30,294255.0554576918
2022-05-31,302767.797428766
2022-06-30,299373.7000029261
2022-07-31,303481.486581726
2022-08-31,307074.59214301227
2022-09-30,304389.13527269743
2022-10-31,317890.9157078084
2022-11-30,328606.3067293643
2022-12-31,327216.70757700683
2023-01-31,335528.1322240835
2023-02-28,333284.743014545
2023-03-31,339660.07472544885
2023-04-30,345769.56712618406
2023-05-31,348439.0325135966
2023-06-30,358872.26356476056
2023-07-31,367539.8268201186
2023-08-31,373862.33471269254
2023-09-30,370799.83657892165
2023-10-31,372881.96773090656
2023-11-30,383205.5945184679
2023-12-31,395240.00806013896
2024-01-31,399705.8266174492
2024-02-29,406347.315571003
2024-03-31,422090.3331690105
2024-04-30,428072.8987034423
2024-05-31,441591.0251966864
2024-06-30,443654.2306728757
2024-07-31,461832.49137218995
2024-08-31,466615.5363911147
2024-09-30,475648.97602611495
2024-10-31,477365.1830563454
2024-11-30,490564.1908007921
2024-12-31,501361.3866754229
2025-01-31,509889.12253761507
