date,equity
2016-03-31,102263.11939872934
2016-04-30,102499.80719958658
2016-05-31,102821.89278205314
2016-06-30,104847.29008371451
2016-07-31,108900.93794304636
2016-08-31,109483.43237742972
2016-09-30,110847.63562258771
2016-10-31,110252.93980943674
2016-11-30,110686.85483151668
2016-12-31,111375.80706234915
2017-01-31,113079.63450605933
2017-02-28,113876.99569919947
2017-03-31,114414.5910916397
2017-04-30,114681.31558472381
2017-05-31,115467.00200921438
2017-06-30,115963.96891967676
2017-07-31,116745.65618737305
2017-08-31,119251.76927726514
2017-09-30,119895.34327469803
2017-10-31,120712.016584278
2017-11-30,121607.73887315822
2017-12-31,121724.7710661331
2018-01-31,123853.02747644407
2018-02-28,124288.03562172098
2018-03-31,124859.04432803055
2018-04-30,124840.75865308596
2018-05-31,125619.7841262849
2018-06-30,126399.03305416784
2018-07-31,127619.27811253855
2018-08-31,129103.94365092213
2018-09-30,129182.08366681394
2018-10-31,127565.97011982312
2018-11-30,130083.32064919687
2018-12-31,129566.37771043784
2019-01-31,132116.09052309804
2019-02-28,131196.11317119468
2019-03-31,131960.88719372696
2019-04-30,133503.85355799738
2019-05-31,131309.93540403002
2019-06-30,134409.5922809185
2019-07-31,136611.22727367908
2019-08-31,135413.83228054998
2019-09-30,136978.8668828597
2019-10-31,138160.27296425967
2019-11-30,139537.3190286214
2019-12-31,140437.51009890926
2020-01-31,140882.19295365884
2020-02-29,141121.55274355123
2020-03-31,140770.76611344278
2020-04-30,147728.83080213968
2020-05-31,149948.26309940917
2020-06-30,153623.24066037755
2020-07-31,156073.51277550138
2020-08-31,154867.74488629503
2020-09-30,155223.54579370897
2020-10-31,156004.9554507589
2020-11-30,162732.98000268638
2020-12-31,166827.70146195721
2021-01-31,167371.11133827415
2021-02-28,174947.13128255014
2021-03-31,178005.71680508982
2021-04-30,180404.61744988905
2021-05-31,183271.15886460114
2021-06-30,184881.088359724
2021-07-31,185587.11110239633
2021-08-31,194447.13358024228
2021-09-30,191644.59929289107
2021-10-31,195534.74780953536
2021-11-30,194521.83738902758
2021-12-31,197858.1024119019
2022-01-31,197129.41323724168
2022-02-28,197560.34101159155
2022-03-31,198887.92162587284
2022-04-30,195761.84513571908
2022-05-31,200134.89861964344
2022-06-30,196306.83927697173
2022-07-31,200024.55544287155
2022-08-31,195708.25470645982
2022-09-30,194241.37561217815
2022-10-31,199582.23139593404
2022-11-30,202931.10887846307
2022-12-31,200628.44997865162
2023-01-31,205491.74669094218
2023-02-28,205336.3438061705
2023-03-31,208177.37599616262
2023-04-30,209285.36317659382
2023-05-31,209012.9103659785
2023-06-30,214474.72285292367
2023-07-31,215990.58426044096
2023-08-31,218884.08194848895
2023-09-30,216389.16992016445
2023-10-31,214490.31844982618
2023-11-30,219293.8349738898
2023-12-31,221156.2321515106
2024-01-31,221376.11995889968
2024-02-29,228826.17858359197
2024-03-31,231902.24861602552
2024-04-30,229930.4574685645
2024-05-31,233551.80483471663
2024-06-30,234153.15343758801
2024-07-31,236396.45591519892
2024-08-31,236793.50618227216
2024-09-30,238479.30181105173
2024-10-31,237074.26139969955
2024-11-30,241773.67682381728
2024-12-31,239546.5138492153
2025-01-31,242761.82060245937
2025-02-28,245557.79840203928
2025-03-31,245085.08791601576
2025-04-30,245755.51555128125
2025-05-31,250710.11034234424
2025-06-30,253392.3205104269
2025-07-31,254728.6803710851
