date,equity
2017-09-30,100948.38468265873
2017-10-31,102851.68968750534
2017-11-30,105372.32696958433
2017-12-31,106677.86256021113
2018-01-31,111769.13776026624
2018-02-28,113392.4136473378
2018-03-31,113835.72187775341
2018-04-30,115788.83227197557
2018-05-31,116207.85773010207
2018-06-30,117152.55070625637
2018-07-31,121508.93093875241
2018-08-31,122899.97817023777
2018-09-30,122811.19062972048
2018-10-31,123453.00630377358
2018-11-30,126028.83911418637
2018-12-31,126418.3681710454
2019-01-31,129928.93294889537
2019-02-28,131285.51784434452
2019-03-31,133601.19051457438
2019-04-30,136360.49187713047
2019-05-31,136037.17193713575
2019-06-30,141139.46885467588
2019-07-31,146895.6461564855
2019-08-31,148902.98775213596
2019-09-30,149472.9176118912
2019-10-31,151728.8130953598
2019-11-30,154183.62493563938
2019-12-31,157803.44727917225
2020-01-31,158188.09862302247
2020-02-29,154108.11980212264
2020-03-31,154684.890530083
2020-04-30,163605.72222808213
2020-05-31,168068.57150599192
2020-06-30,171936.69128654458
2020-07-31,174961.55022303227
2020-08-31,181877.7909712019
2020-09-30,183590.8779462615
2020-10-31,184103.17116246556
2020-11-30,191350.07691564335
2020-12-31,196725.00101514976
2021-01-31,202532.38733911462
2021-02-28,210703.87614622078
2021-03-31,219679.02648243337
2021-04-30,225795.0273441205
2021-05-31,229264.95143190917
2021-06-30,231947.12723516714
2021-07-31,235529.71994037088
2021-08-31,241037.88231054848
2021-09-30,243218.25026948834
2021-10-31,250042.30559496352
2021-11-30,250347.03780439115
2021-12-31,258573.21574973257
2022-01-31,258578.11545491387
2022-02-28,262028.55899797016
2022-03-31,271456.19153930916
2022-04-30,272447.9239950058
2022-05-31,277584.46484139015
2022-06-30,274565.3559972329
2022-07-31,279933.77638048155
2022-08-31,280541.12437803525
2022-09-30,277600.7603652542
2022-10-31,288121.1817399948
2022-11-30,296304.45366626186
2022-12-31,293870.80827664025
2023-01-31,299945.32896572805
2023-02-28,298530.6710047843
2023-03-31,304539.6738872135
2023-04-30,309276.6740354955
2023-05-31,312286.9709385872
2023-06-30,323167.12058453704
2023-07-31,330087.5361227384
2023-08-31,338006.7367749556
2023-09-30,335672.89603671763
2023-10-31,337685.72891651327
2023-11-30,349717.5327333389
2023-12-31,361152.6911018198
2024-01-31,366458.94444852596
2024-02-29,375605.9536887887
2024-03-31,387776.9049613159
2024-04-30,392533.503321586
2024-05-31,404667.7475036499
2024-06-30,407924.6421912878
2024-07-31,424286.75758536364
2024-08-31,430233.78796651476
2024-09-30,440459.39107710286
2024-10-31,443236.88251458516
2024-11-30,457369.7184215399
2024-12-31,468081.70257913525
2025-01-31,475084.30327718594
