date,equity
2016-01-04,100000.0
2016-01-05,100007.27803858287
2016-01-06,99933.18623328423
2016-01-07,99868.81208904604
2016-01-08,100957.4331318252
2016-01-11,101156.27663494174
2016-01-12,101412.75019109664
2016-01-13,102054.85008405315
2016-01-14,102072.4491269951
2016-01-15,101765.09522360795
2016-01-18,101765.09522360795
2016-01-19,101871.10961904957
2016-01-20,101150.47217563275
2016-01-21,101076.20717088184
2016-01-22,101530.78302533884
2016-01-25,101505.00513084485
2016-01-26,101484.22792481011
2016-01-27,101487.73172228731
2016-01-28,101612.68551676547
2016-01-29,103355.3231045122
2016-02-01,103547.69108828949
2016-02-02,103705.37316753417
2016-02-03,104161.77827528887
2016-02-04,104216.19105261972
2016-02-05,105861.49682332545
2016-02-08,104645.85848773464
2016-02-09,103961.22403106531
2016-02-10,103518.30572481843
2016-02-11,102443.23905969587
2016-02-12,102593.35615970302
2016-02-15,102593.35615970302
2016-02-16,102800.98394392301
2016-02-17,103086.87641913192
2016-02-18,102941.28607488198
2016-02-19,102659.12480995702
2016-02-22,102730.75109653959
2016-02-23,102735.17927249923
2016-02-24,102528.030038774
2016-02-25,103370.21859316238
2016-02-26,103369.67668700326
2016-02-29,103209.43026267628
2016-03-01,104873.21170319617
2016-03-02,105227.34278963722
2016-03-03,105261.40857266469
2016-03-04,105952.77946267342
2016-03-07,105968.28891015901
2016-03-08,105441.52053592834
2016-03-09,105585.03902717962
2016-03-10,105351.00177891667
2016-03-11,106312.81035205895
2016-03-14,106662.3415966316
2016-03-15,106614.22909698114
2016-03-16,107102.5628401852
2016-03-17,107884.49473555095
2016-03-18,108029.83817968059
2016-03-21,107755.35842560376
2016-03-22,108136.65310897831
2016-03-23,107899.23786195938
2016-03-24,106605.23623963796
2016-03-25,106605.23623963796
2016-03-28,106152.87210906205
2016-03-29,107195.07914361732
2016-03-30,107194.1641142369
2016-03-31,107176.12812213151
2016-04-01,107324.35916903638
2016-04-04,107620.44876102927
2016-04-05,106618.20655087542
2016-04-06,106725.35347730888
2016-04-07,106756.17943683297
2016-04-08,107605.87843993776
2016-04-11,108673.96887995866
2016-04-12,109292.94541512981
2016-04-13,110111.39853974947
2016-04-14,109807.75617150625
2016-04-15,109979.42319261153
2016-04-18,110341.05807783332
2016-04-19,110360.76773908782
2016-04-20,110497.72996764387
2016-04-21,110176.91002282573
2016-04-22,110267.47208677928
2016-04-25,110144.42046245973
2016-04-26,110166.66147730568
2016-04-27,110018.42713978836
2016-04-28,109795.06839365867
2016-04-29,109052.60071762133
2016-05-02,109185.64058646018
2016-05-03,108707.52304592113
2016-05-04,107774.64330326296
2016-05-05,107632.64776338733
2016-05-06,107309.47565684332
2016-05-09,107277.33074241864
2016-05-10,108248.3130949959
2016-05-11,108319.66023831774
2016-05-12,108459.98705853666
2016-05-13,108253.98391398262
2016-05-16,108840.58273952891
2016-05-17,109373.51903108874
2016-05-18,108214.82094623281
2016-05-19,107026.90900733309
2016-05-20,106721.15097317887
2016-05-23,106600.58810702608
2016-05-24,107653.86788490965
2016-05-25,107833.75370135966
2016-05-26,107734.53525163433
2016-05-27,107731.47901208719
2016-05-30,107731.47901208719
2016-05-31,107824.65169286115
2016-06-01,108191.86757689457
2016-06-02,108662.77779109273
2016-06-03,108222.934059067
2016-06-06,108567.31245668851
2016-06-07,109017.06936072189
2016-06-08,108727.1251914883
2016-06-09,109027.41060840493
2016-06-10,109167.99028860014
2016-06-13,108854.41664963729
2016-06-14,108319.97886956313
2016-06-15,108094.80046204154
2016-06-16,107512.16660190394
2016-06-17,107199.64056649269
2016-06-20,108473.28492214132
2016-06-21,108576.97638080802
2016-06-22,108180.85262782038
2016-06-23,109851.44310329271
2016-06-24,111126.42295490354
2016-06-27,111591.63513984623
2016-06-28,111810.56090717502
2016-06-29,112320.97135049343
2016-06-30,112875.20986360562
2016-07-01,112961.51323586753
2016-07-04,112961.51323586753
2016-07-05,113215.96614201064
2016-07-06,112938.18406945342
2016-07-07,112775.98091670085
2016-07-08,114790.00990146649
2016-07-11,114784.97468117242
2016-07-12,114734.86591005893
2016-07-13,114739.03015855489
2016-07-14,115193.00856767796
2016-07-15,116103.39938278169
2016-07-18,116281.06615876788
2016-07-19,115990.41931620344
2016-07-20,116209.24985349886
2016-07-21,116183.25483186127
2016-07-22,116294.80741118132
2016-07-25,116365.09392265163
2016-07-26,116250.702992352
2016-07-27,116063.5812942796
2016-07-28,116088.29978750263
2016-07-29,116100.09142567041
2016-08-01,115913.90611392973
2016-08-02,116310.66511498332
2016-08-03,115925.82706189447
2016-08-04,115738.29919367422
2016-08-05,116515.67465167816
2016-08-08,116266.40053735893
2016-08-09,116222.83822158696
2016-08-10,115518.49014531191
2016-08-11,116119.64978460372
2016-08-12,116246.68924752335
2016-08-15,116735.58893684826
2016-08-16,116838.72287340256
2016-08-17,115932.42777092005
2016-08-18,115393.29066228478
2016-08-19,115026.13890221369
2016-08-22,114984.84928355068
2016-08-23,115675.30443575671
2016-08-24,115506.73949975363
2016-08-25,114918.62173440009
2016-08-26,114767.83471481915
2016-08-29,114522.12682766061
2016-08-30,114401.62415510055
2016-08-31,114178.42822891136
2016-09-01,113854.66846166033
2016-09-02,113595.47289599014
2016-09-05,113595.47289599014
2016-09-06,113571.1651866433
2016-09-07,113613.75331219555
2016-09-08,113779.21167426842
2016-09-09,116960.2896112475
2016-09-12,117515.10100459652
2016-09-13,117400.14984783318
2016-09-14,117558.37167715984
2016-09-15,117706.29368541374
2016-09-16,117093.34656849004
2016-09-19,116843.26120425394
2016-09-20,116918.6266148473
2016-09-21,117375.17969317199
2016-09-22,117787.38008908046
2016-09-23,117732.17806783838
2016-09-26,117396.4777241887
2016-09-27,118055.3346432849
2016-09-28,118237.25992523096
2016-09-29,118393.37292233315
2016-09-30,118489.16030076014
2016-10-03,118349.18906087986
2016-10-04,119277.07064391187
2016-10-05,119266.18362065367
2016-10-06,118750.40969753734
2016-10-07,118567.82316970751
2016-10-10,118933.40351636532
2016-10-11,120222.84651202113
2016-10-12,119464.14980764702
2016-10-13,118482.31851255179
2016-10-14,118432.32118170024
2016-10-17,118441.72297215929
2016-10-18,119201.59699610753
2016-10-19,119094.95769196497
2016-10-20,118763.65173414173
2016-10-21,118362.15718993908
2016-10-24,118254.47305793648
2016-10-25,118156.00928397388
2016-10-26,117704.52692268814
2016-10-27,118623.84936124847
2016-10-28,117848.16323780645
2016-10-31,118069.89117007639
2016-11-01,120575.6057570209
2016-11-02,120729.93609689303
2016-11-03,121148.32117516456
2016-11-04,121151.61079952965
2016-11-07,122756.53599943311
2016-11-08,123171.19607425349
2016-11-09,124761.744184849
2016-11-10,125258.56942565652
2016-11-11,124512.23266888138
2016-11-14,124481.35663430695
2016-11-15,124953.60876194421
2016-11-16,125049.48625603909
2016-11-17,125241.63066522857
2016-11-18,125202.94991223306
2016-11-21,125622.67097462554
2016-11-22,125653.40994658871
2016-11-23,125520.90484833873
2016-11-24,125520.90484833873
2016-11-25,125713.68775148402
2016-11-28,125580.29602282544
2016-11-29,125587.31308019083
2016-11-30,126294.08524202388
2016-12-01,127187.36717331983
2016-12-02,126883.88802977897
2016-12-05,127234.26404540619
2016-12-06,127575.26397622771
2016-12-07,129407.46613953369
2016-12-08,129796.08123167645
2016-12-09,129922.77324765062
2016-12-12,129023.22112296167
2016-12-13,129591.95263141536
2016-12-14,130310.68388426887
2016-12-15,129548.32949403454
2016-12-16,129529.53285921252
2016-12-19,129293.40006395917
2016-12-20,129712.81424473287
2016-12-21,129677.27785491894
2016-12-22,129363.26387849484
2016-12-23,129381.72902140046
2016-12-26,129381.72902140046
2016-12-27,129395.59214474006
2016-12-28,130537.72498187219
2016-12-29,130630.39388458582
2016-12-30,131394.37750516454
2017-01-02,131394.37750516454
2017-01-03,132906.57525526456
2017-01-04,133796.34572053244
2017-01-05,133848.71905909112
2017-01-06,133910.79061923258
2017-01-09,134539.81938106407
2017-01-10,134615.68877440508
2017-01-11,134015.5787940413
2017-01-12,132932.41367092033
2017-01-13,132672.117537861
2017-01-16,132672.117537861
2017-01-17,132206.64491326234
2017-01-18,132026.51027005428
2017-01-19,131865.43717901144
2017-01-20,131501.13551519706
2017-01-23,131448.31615795274
2017-01-24,132255.43168555628
2017-01-25,132657.31668767123
2017-01-26,132406.39279335
2017-01-27,132262.76013729055
2017-01-30,131116.6919199215
2017-01-31,130814.42524126437
2017-02-01,130737.22460475497
2017-02-02,130769.31677824739
2017-02-03,130947.02388544232
2017-02-06,131329.66406190582
2017-02-07,131574.1988626314
2017-02-08,131362.62360278284
2017-02-09,131924.27668273484
2017-02-10,132416.75747116774
2017-02-13,132293.8943213031
2017-02-14,133068.24982093758
2017-02-15,134557.0689177537
2017-02-16,134483.39695042575
2017-02-17,134166.4814172957
2017-02-20,134166.4814172957
2017-02-21,135385.49233471073
2017-02-22,135104.2742013557
2017-02-23,135044.3495747373
2017-02-24,134328.42331463736
2017-02-27,134319.5292194436
2017-02-28,134537.58984929335
2017-03-01,136987.03891590302
2017-03-02,136818.1915608708
2017-03-03,136715.3202865485
2017-03-06,136425.89723102815
2017-03-07,136357.05798021107
2017-03-08,136683.9015230006
2017-03-09,135735.28135987808
2017-03-10,135428.5531903509
2017-03-13,135176.45066988142
2017-03-14,134845.7102871209
2017-03-15,136321.71834403902
2017-03-16,136336.4739695827
2017-03-17,135969.7305324593
2017-03-20,135704.02355173565
2017-03-21,138734.50362807306
2017-03-22,138144.18620009164
2017-03-23,137936.59459118644
2017-03-24,138349.14882528636
