date,equity
2017-08-31,98751.28841763317
2017-09-30,99498.740242684
2017-10-31,100639.6390630943
2017-11-30,102420.84465150394
2017-12-31,103340.67065165544
2018-01-31,105521.35060113246
2018-02-28,104911.10621605448
2018-03-31,104221.88297916715
2018-04-30,104387.99573790323
2018-05-31,105120.64347921702
2018-06-30,105503.67772629108
2018-07-31,107129.30922563835
2018-08-31,107774.83210801324
2018-09-30,108228.01056346075
2018-10-31,106583.74639557653
2018-11-30,105872.70060099845
2018-12-31,103073.36519272736
2019-01-31,105702.72439520978
2019-02-28,106979.37662148867
2019-03-31,108725.35641497513
2019-04-30,109557.04681425258
2019-05-31,111809.87468769052
2019-06-30,114846.20472094152
2019-07-31,115319.52965207073
2019-08-31,116704.11554770157
2019-09-30,117304.65975714191
2019-10-31,118372.586758333
2019-11-30,118499.95184412294
2019-12-31,120023.86547925645
2020-01-31,119855.72706994481
2020-02-29,117303.96651045785
2020-03-31,114224.857262921
2020-04-30,119375.20198714963
2020-05-31,121380.28833195979
2020-06-30,122357.57741058759
2020-07-31,125468.33227713495
2020-08-31,129782.40125648797
2020-09-30,128872.84238532555
2020-10-31,128099.70923166143
2020-11-30,131515.73814853813
2020-12-31,134977.4523463089
2021-01-31,136363.25033839289
2021-02-28,137657.9561478714
2021-03-31,140226.82751815705
2021-04-30,145730.14060166528
2021-05-31,146765.75852966766
2021-06-30,147422.57992885864
2021-07-31,150303.3113283563
2021-08-31,150063.42311596984
2021-09-30,147486.4337369703
2021-10-31,152060.38484860008
2021-11-30,154946.57382572695
2021-12-31,160148.56375813315
2022-01-31,159732.01776572986
2022-02-28,160665.6606942519
2022-03-31,162900.85607778683
2022-04-30,162721.92130551764
2022-05-31,163553.77998600024
2022-06-30,159403.24487361312
2022-07-31,161001.11398204713
2022-08-31,156156.11414277714
2022-09-30,152067.27149236566
2022-10-31,157650.68020382465
2022-11-30,161962.62765008435
2022-12-31,161353.13382214206
2023-01-31,161691.41090458658
2023-02-28,158790.2278268219
2023-03-31,161385.74780977375
2023-04-30,162328.4639165488
2023-05-31,158320.28982898523
2023-06-30,161201.65238659625
2023-07-31,162136.30535191772
2023-08-31,161346.90506561237
2023-09-30,159807.80916640259
2023-10-31,159852.08290945416
2023-11-30,162675.43505467116
2023-12-31,164201.81293335033
2024-01-31,164365.52093900746
2024-02-29,164864.44859302122
2024-03-31,169046.58002416388
2024-04-30,167650.66448489402
2024-05-31,171780.61630347086
2024-06-30,170552.395129915
2024-07-31,171003.02152683548
2024-08-31,172316.91453011043
2024-09-30,173821.98232873937
2024-10-31,170875.47125532487
2024-11-30,173996.74178300446
2024-12-31,172997.7383252247
2025-01-31,174077.8921743218
