date,equity
2017-09-30,100890.71685734314
2017-10-31,101608.17637146098
2017-11-30,103099.40913809856
2017-12-31,104335.45100510016
2018-01-31,107145.68327801874
2018-02-28,108862.216303556
2018-03-31,109773.2466303415
2018-04-30,110725.07221759041
2018-05-31,111086.6077416204
2018-06-30,112494.35632965392
2018-07-31,115355.50730407509
2018-08-31,116447.66090371211
2018-09-30,116990.02805976222
2018-10-31,119553.4838541665
2018-11-30,121455.87121315686
2018-12-31,123186.30052980222
2019-01-31,127078.49669285312
2019-02-28,128018.28138301558
2019-03-31,130201.84353984243
2019-04-30,131448.91324015925
2019-05-31,133130.30165019326
2019-06-30,136368.82279103596
2019-07-31,139334.27674593008
2019-08-31,141291.9857380472
2019-09-30,141929.2788940521
2019-10-31,144139.26531820028
2019-11-30,145084.25992620792
2019-12-31,147742.0020914437
2020-01-31,148011.05037700167
2020-02-29,149155.5683746259
2020-03-31,151618.0034331161
2020-04-30,159249.23818637565
2020-05-31,162200.63566048048
2020-06-30,164398.32022092261
2020-07-31,165809.28566002887
2020-08-31,169469.73118270037
2020-09-30,171316.39818003715
2020-10-31,173017.6377417381
2020-11-30,177258.43130368541
2020-12-31,181365.53024463632
2021-01-31,185288.0535994933
2021-02-28,189447.8369926018
2021-03-31,195562.74612405812
2021-04-30,199583.60031955675
2021-05-31,202639.25333691874
2021-06-30,204648.03799375292
2021-07-31,208673.91292917499
2021-08-31,212662.38059181624
2021-09-30,214749.95281878163
2021-10-31,219485.74958686953
2021-11-30,223185.50006759504
2021-12-31,229216.08886441033
2022-01-31,231620.57892076593
2022-02-28,235245.83661366155
2022-03-31,240363.15212010604
2022-04-30,242358.1627613012
2022-05-31,248048.3452712733
2022-06-30,247656.33107538917
2022-07-31,250485.67428011575
2022-08-31,250051.23626313367
2022-09-30,250387.51791445247
2022-10-31,256443.95630096618
2022-11-30,261908.20382614856
2022-12-31,263470.8312496451
2023-01-31,269413.160911989
2023-02-28,268526.12681128905
2023-03-31,273896.07818170247
2023-04-30,277505.5034155094
2023-05-31,279157.0457409416
2023-06-30,286101.6646146467
2023-07-31,289899.48188384314
2023-08-31,294269.34923333913
2023-09-30,295366.852561801
2023-10-31,298834.1349684365
2023-11-30,304450.1226587611
2023-12-31,312026.2228812386
2024-01-31,315335.8237295317
2024-02-29,320132.7218415838
2024-03-31,327092.39418357576
2024-04-30,329498.59230974293
2024-05-31,336370.3584181426
2024-06-30,335907.10543673194
2024-07-31,343864.8244753721
2024-08-31,345533.9678882131
2024-09-30,349391.18763470475
2024-10-31,350708.095361414
2024-11-30,358495.91380980785
2024-12-31,366894.3864898582
2025-01-31,370298.10168932774
