date,equity
2016-05-02,100023.48083252549
2016-05-03,99823.49891291079
2016-05-04,99775.77894148599
2016-05-05,99773.78940401669
2016-05-06,99952.38294190487
2016-05-09,99773.76111785482
2016-05-10,100128.18334807985
2016-05-11,100269.24133690567
2016-05-12,100251.4767656294
2016-05-13,100215.64708267956
2016-05-16,100351.51636728668
2016-05-17,100433.79322220947
2016-05-18,100281.25684484099
2016-05-19,100233.77488892326
2016-05-20,100223.47733612549
2016-05-23,100209.25789089648
2016-05-24,100136.89939316179
2016-05-25,100369.32401859644
2016-05-26,100367.21434538918
2016-05-27,100441.79505552548
2016-05-30,100441.84588871116
2016-05-31,100178.80667019516
2016-06-01,100385.07439678823
2016-06-02,100663.21632149028
2016-06-03,100756.8659532478
2016-06-06,100952.9186407972
2016-06-07,101078.57591441003
2016-06-08,101364.88765862555
2016-06-09,101306.56010067047
2016-06-10,101194.47926711547
2016-06-13,101207.55840434339
2016-06-14,101201.53713639679
2016-06-15,101107.84703764286
2016-06-16,100910.45845654036
2016-06-17,101180.72429937449
2016-06-20,101033.12422256377
2016-06-21,100715.66844496109
2016-06-22,100740.83434540595
2016-06-23,100618.80350509846
2016-06-24,100433.14708834032
2016-06-27,100408.15375877186
2016-06-28,100970.54871369698
2016-06-29,101243.0213745956
2016-06-30,101840.81898263915
2016-07-01,101802.14870632898
2016-07-04,101802.20022798414
2016-07-05,101522.1491149188
2016-07-06,101486.48068646734
2016-07-07,101273.71905923932
2016-07-08,102022.8750904991
2016-07-11,101847.3345092757
2016-07-12,101974.86034471537
2016-07-13,102321.20810710659
2016-07-14,102106.71305905838
2016-07-15,101810.45858310585
2016-07-18,101944.03665554346
2016-07-19,101588.36369834731
2016-07-20,101432.21969340321
2016-07-21,101454.69981589892
2016-07-22,102180.19783148619
2016-07-25,102089.89517599849
2016-07-26,102103.24208210426
2016-07-27,102307.40221848
2016-07-28,102179.17369080262
2016-07-29,102834.88923851996
2016-08-01,102470.58743982753
2016-08-02,102182.02811271779
2016-08-03,102537.88303042437
2016-08-04,102490.61482396857
2016-08-05,102764.43355856191
2016-08-08,102857.95844565901
2016-08-09,102903.15901174916
2016-08-10,102945.88454220803
2016-08-11,102862.25493447321
2016-08-12,102911.84993727865
2016-08-15,102992.2521206202
2016-08-16,102964.54021190529
2016-08-17,103104.19632061083
2016-08-18,103166.64625808965
2016-08-19,103132.7997476795
2016-08-22,103096.58327962043
2016-08-23,102990.54932646401
2016-08-24,102895.82129809033
2016-08-25,102682.56595675409
2016-08-26,102323.70026819974
2016-08-29,102270.9401387474
2016-08-30,102106.22593505157
2016-08-31,101655.88957459122
2016-09-01,101883.0748863375
2016-09-02,102053.74238410353
2016-09-05,102053.79403308925
2016-09-06,102220.14324177853
2016-09-07,102300.61746893146
2016-09-08,102213.52010923364
2016-09-09,101981.96855123052
2016-09-12,102141.7632771636
2016-09-13,101700.96423482047
2016-09-14,101781.31887394158
2016-09-15,102146.0356858529
2016-09-16,102284.55596474952
2016-09-19,102312.05158310228
2016-09-20,102385.717984893
2016-09-21,102637.35292351173
2016-09-22,102775.86047410846
2016-09-23,102719.43677441853
2016-09-26,102552.2246510743
2016-09-27,102757.0356571456
2016-09-28,102798.1693313766
