date,equity
2016-01-28,100054.38436162415
2016-01-29,101161.15732254215
2016-02-01,101231.31070292824
2016-02-02,101384.98781858034
2016-02-03,101552.34061205547
2016-02-04,101496.54844568923
2016-02-05,101934.45044433259
2016-02-08,101706.6427991062
2016-02-09,101590.76169594184
2016-02-10,101480.28261126291
2016-02-11,101321.36799322025
2016-02-12,101617.11945089664
2016-02-15,101617.11945089664
2016-02-16,101785.54663866089
2016-02-17,101997.76263970883
2016-02-18,102053.2845878451
2016-02-19,101987.39002421746
2016-02-22,102320.71588284802
2016-02-23,102197.3882460668
2016-02-24,102202.45513365591
2016-02-25,102526.14790497636
2016-02-26,102341.55965581804
2016-02-29,102263.61475269934
2016-03-01,103080.79339582015
2016-03-02,103514.52764739093
2016-03-03,103712.38317569523
2016-03-04,104309.79070881923
2016-03-07,104422.411642105
2016-03-08,103989.08039742068
2016-03-09,103926.52207032038
2016-03-10,103733.1245920996
2016-03-11,104219.53722784636
2016-03-14,104342.89067946092
2016-03-15,104291.43515025891
2016-03-16,104668.20802734251
2016-03-17,104966.44659644214
2016-03-18,105012.60206994347
2016-03-21,104971.79929736588
2016-03-22,105199.4585185934
2016-03-23,105153.07646841035
2016-03-24,104897.52498611515
2016-03-25,104910.99736926518
2016-03-28,104733.66112214277
2016-03-29,105182.55007419703
2016-03-30,104984.15643932826
2016-03-31,104855.4361192364
2016-04-01,104870.88116639758
2016-04-04,104759.35968797101
2016-04-05,104634.84458651015
2016-04-06,104690.52505691176
2016-04-07,104723.8111253335
2016-04-08,104809.32679497039
2016-04-11,104911.91747185022
2016-04-12,105059.03887275216
2016-04-13,105407.167069545
2016-04-14,105358.562010776
2016-04-15,105286.35841716237
2016-04-18,105636.017330872
2016-04-19,105736.51910945916
2016-04-20,105732.03716311792
2016-04-21,105708.47143735172
2016-04-22,105693.26462810913
2016-04-25,105548.40449818558
2016-04-26,105658.83539562338
2016-04-27,105704.22334903802
2016-04-28,105609.69981886452
2016-04-29,105628.48013435537
2016-05-02,105716.11230021177
2016-05-03,105336.81592019442
2016-05-04,105163.03208331854
2016-05-05,105015.53751825943
2016-05-06,104930.74541098386
2016-05-09,104943.77133818885
2016-05-10,105494.38698389122
2016-05-11,105633.63567736917
2016-05-12,105596.68125521402
2016-05-13,105603.82421999554
2016-05-16,105876.2842864805
2016-05-17,105969.44441929056
2016-05-18,105688.7837185301
2016-05-19,105506.1019773834
2016-05-20,105650.04079357932
2016-05-23,105452.24755286255
2016-05-24,106238.55266122932
2016-05-25,106398.11060418644
2016-05-26,106310.93557210125
2016-05-27,106439.92755949667
2016-05-30,106439.92755949667
2016-05-31,106292.12426094459
2016-06-01,106399.39460342913
2016-06-02,106560.02420550132
2016-06-03,106611.40292187719
2016-06-06,106849.24050573983
2016-06-07,106897.6314138039
2016-06-08,106882.00240442513
2016-06-09,106952.03252132297
2016-06-10,106919.64328044401
2016-06-13,107044.2321947882
2016-06-14,106897.58347201206
2016-06-15,106757.98858440421
2016-06-16,106531.47622294188
2016-06-17,106539.54216746446
2016-06-20,106649.71273878805
2016-06-21,106595.04777024953
2016-06-22,106464.45177458337
2016-06-23,107218.42034351587
2016-06-24,107388.5646855965
2016-06-27,107663.6124270709
2016-06-28,107946.19321631074
2016-06-29,108255.35667112892
2016-06-30,108585.58168278268
2016-07-01,108654.7428370378
2016-07-04,108655.68085009808
2016-07-05,108701.80016576035
2016-07-06,108675.59484405129
2016-07-07,108572.3921990039
2016-07-08,109105.54048308145
2016-07-11,109130.26692820547
2016-07-12,109346.86962524713
2016-07-13,109283.96918924057
2016-07-14,109320.54869176226
2016-07-15,109455.37367914038
2016-07-18,109486.91686848104
2016-07-19,109362.55169966344
2016-07-20,109395.37749076083
2016-07-21,109338.89781618217
2016-07-22,109352.44545265315
2016-07-25,109173.20136045528
2016-07-26,109014.81683380427
2016-07-27,108839.86720443462
2016-07-28,108780.73451512113
2016-07-29,108769.29204876765
2016-08-01,108694.10744336265
2016-08-02,108859.82228700073
2016-08-03,108846.33093904452
2016-08-04,108827.47943940693
2016-08-05,109060.39479300084
2016-08-08,108960.22197955925
2016-08-09,108804.38981227473
2016-08-10,108743.77581541723
2016-08-11,108915.79561605833
2016-08-12,108830.56802001045
2016-08-15,108956.64252006338
2016-08-16,109099.52235793552
2016-08-17,109054.59272081767
2016-08-18,109170.79625955457
2016-08-19,109081.08896656743
2016-08-22,109020.12393327898
2016-08-23,108903.54916091217
2016-08-24,108957.96790784744
2016-08-25,108788.45667418333
2016-08-26,108537.20068780257
2016-08-29,108661.4358912252
2016-08-30,108545.1847820101
2016-08-31,108498.48661140753
2016-09-01,108429.4329849614
2016-09-02,108449.82999099857
2016-09-05,108449.82999099857
2016-09-06,108559.91323975331
2016-09-07,108515.28468789991
2016-09-08,108415.22895412719
2016-09-09,109416.09868922968
2016-09-12,109962.98017510718
2016-09-13,109982.25303925047
2016-09-14,109984.55843114652
2016-09-15,110057.29887177567
2016-09-16,109892.07344404064
2016-09-19,109836.50900820852
2016-09-20,109777.78493674948
2016-09-21,110289.02554216882
2016-09-22,110408.41704822054
2016-09-23,110401.82662220896
2016-09-26,110300.88973365491
2016-09-27,110492.65791054706
2016-09-28,110568.13631318598
2016-09-29,110578.84304671064
2016-09-30,110475.34820375702
2016-10-03,110389.65859914415
2016-10-04,110885.41279621811
2016-10-05,110844.62427679247
2016-10-06,110614.45384583378
2016-10-07,110545.04086045166
2016-10-10,110537.45411770696
2016-10-11,111016.99302469134
2016-10-12,110925.22379241929
2016-10-13,110597.49103620258
2016-10-14,110407.89566444064
2016-10-17,110419.02744771275
2016-10-18,110690.78942016397
2016-10-19,110770.3552245959
2016-10-20,110627.36308562082
2016-10-21,110348.522837364
2016-10-24,110270.68621703381
2016-10-25,110156.57246965214
2016-10-26,109998.60549959842
2016-10-27,110470.82949000728
2016-10-28,110291.07627938467
2016-10-31,110473.35631404331
2016-11-01,111474.52548244831
2016-11-02,111653.37897994394
2016-11-03,111920.76917853058
2016-11-04,111795.96224896262
2016-11-07,112506.12284770877
2016-11-08,112900.5072988849
2016-11-09,113705.73213741738
2016-11-10,113724.56362802896
2016-11-11,113675.09154135807
2016-11-14,113804.27094505842
2016-11-15,114131.22328274779
2016-11-16,114223.96123285701
2016-11-17,114279.25142586853
2016-11-18,114145.43888806064
2016-11-21,114511.77279525693
2016-11-22,114539.92554949404
2016-11-23,114581.60166585396
2016-11-24,114581.60166585396
2016-11-25,114736.55678316008
2016-11-28,114568.91893488356
2016-11-29,114514.0868952407
2016-11-30,114848.36419911367
2016-12-01,115305.26363204277
2016-12-02,115379.78359905414
2016-12-05,115661.06425090779
2016-12-06,115905.01962414823
2016-12-07,117052.05845982229
2016-12-08,117185.3613105289
2016-12-09,117325.75109028463
2016-12-12,117163.9190503359
2016-12-13,117530.60827733655
2016-12-14,117539.9112148985
2016-12-15,117262.04063744737
2016-12-16,117121.98717059872
2016-12-19,116985.89871818223
2016-12-20,117062.35832407937
2016-12-21,116918.2970474334
2016-12-22,116782.9612353308
2016-12-23,116731.82581122773
2016-12-26,116693.55308145355
2016-12-27,116763.86992726484
2016-12-28,117534.36069626377
2016-12-29,117578.07103218907
2016-12-30,117973.87098958058
2017-01-02,117973.87098958058
2017-01-03,118049.14244191512
2017-01-04,118558.85117899874
2017-01-05,118619.46247494388
2017-01-06,118887.97987748944
2017-01-09,118902.20459583207
2017-01-10,118851.48547642575
2017-01-11,118873.79600172237
2017-01-12,118651.0059237601
2017-01-13,118567.85970068544
2017-01-16,118567.85970068544
2017-01-17,118522.79437755913
2017-01-18,118361.61085465025
2017-01-19,118339.03615618903
2017-01-20,118177.55442642592
