date,equity
2016-05-02,100000.0
2016-05-03,100118.13
2016-05-04,100136.80000000002
2016-05-05,100294.07
2016-05-06,100143.81
2016-05-09,100157.69
2016-05-10,100344.78
2016-05-11,100430.99
2016-05-12,100345.30000000002
2016-05-13,100483.92
2016-05-16,100373.80000000002
2016-05-17,100374.12
2016-05-18,99924.92000000004
2016-05-19,99972.88000000002
2016-05-20,100034.86000000002
2016-05-23,100078.94
2016-05-24,100063.23
2016-05-25,100067.42
2016-05-26,100181.32
2016-05-27,100155.82000000002
2016-05-30,100155.82000000002
2016-05-31,100180.65
2016-06-01,100238.48
2016-06-02,100428.45
2016-06-03,100893.69
2016-06-06,100827.32
2016-06-07,100991.11000000002
2016-06-08,101208.35
2016-06-09,101270.37
2016-06-10,101295.03
2016-06-13,101228.75
2016-06-14,101105.66
2016-06-15,101305.37
2016-06-16,101375.85
2016-06-17,101207.87
2016-06-20,101070.41
2016-06-21,100991.12
2016-06-22,101097.51
2016-06-23,101018.62000000002
2016-06-24,101353.89
2016-06-27,101643.53
2016-06-28,101982.91
2016-06-29,102017.09
2016-06-30,102262.4
2016-07-01,102578.77
2016-07-04,102578.77
2016-07-05,102738.89
2016-07-06,102851.66000000002
2016-07-07,102870.85
2016-07-08,103256.69000000002
2016-07-11,103094.11000000002
2016-07-12,102796.26
2016-07-13,102989.90000000002
2016-07-14,102757.97000000004
2016-07-15,102542.66000000002
2016-07-18,102577.64
2016-07-19,102650.86
2016-07-20,102601.42
2016-07-21,102625.88000000002
2016-07-22,102707.54000000002
2016-07-25,102618.04
2016-07-26,102571.79
2016-07-27,102867.72
2016-07-28,102762.01000000002
2016-07-29,102956.7
2016-08-01,102494.4
2016-08-02,102236.51000000002
2016-08-03,102327.70000000004
2016-08-04,102593.8
2016-08-05,102408.42
2016-08-08,102506.62
2016-08-09,102792.17
2016-08-10,102864.41
2016-08-11,102711.82
2016-08-12,102922.51
2016-08-15,102776.17
2016-08-16,102680.74000000002
2016-08-17,102830.79
2016-08-18,102949.07000000002
2016-08-19,102779.76
2016-08-22,102933.31
2016-08-23,103017.36
2016-08-24,102931.23
2016-08-25,102885.97
2016-08-26,102733.88
2016-08-29,103090.13000000003
2016-08-30,103019.72000000002
2016-08-31,102982.80000000002
2016-09-01,103026.36000000002
2016-09-02,102942.46000000002
2016-09-05,102942.46000000002
2016-09-06,103121.86000000002
2016-09-07,103049.52
2016-09-08,102728.08
2016-09-09,102227.78000000004
2016-09-12,102290.28
2016-09-13,101957.32000000002
2016-09-14,101989.5
2016-09-15,102019.32000000002
2016-09-16,102161.00000000004
2016-09-19,102116.0
2016-09-20,102170.06
2016-09-21,102479.54000000002
2016-09-22,102708.72000000004
2016-09-23,102666.42000000004
2016-09-26,102719.24000000002
2016-09-27,102908.04000000004
2016-09-28,102984.42000000004
2016-09-29,102959.96000000002
2016-09-30,102862.54000000002
2016-10-03,102738.37
2016-10-04,102398.84000000004
2016-10-05,102314.74
2016-10-06,102253.67
2016-10-07,102332.06000000004
2016-10-10,102259.77
2016-10-11,102080.48
2016-10-12,102108.53000000004
2016-10-13,102184.81
2016-10-14,101926.41000000002
2016-10-17,102126.09000000004
2016-10-18,102281.47000000002
2016-10-19,102379.42
2016-10-20,102361.87000000002
2016-10-21,102411.14000000004
2016-10-24,102292.1
2016-10-25,102333.08000000002
2016-10-26,102092.25
2016-10-27,101756.39
2016-10-28,101655.49000000002
2016-10-31,101754.13000000002
2016-11-01,101675.98000000004
2016-11-02,101647.36000000002
2016-11-03,101582.35000000002
2016-11-04,101677.27000000002
2016-11-07,101856.76
2016-11-08,101755.0
2016-11-09,101309.26
2016-11-10,101075.87
2016-11-11,100837.76000000002
2016-11-14,100744.93000000004
2016-11-15,100996.04
2016-11-16,100985.2
2016-11-17,100833.12000000002
2016-11-18,100722.33000000002
2016-11-21,100880.41000000005
2016-11-22,101035.46000000004
2016-11-23,100874.79000000004
2016-11-24,100874.79000000004
2016-11-25,100872.22000000004
2016-11-28,100958.10000000002
2016-11-29,100974.69000000005
2016-11-30,100925.63000000003
2016-12-01,100748.75000000004
2016-12-02,100911.90000000002
2016-12-05,101006.48
2016-12-06,101105.24000000002
2016-12-07,101254.45
2016-12-08,101177.42
2016-12-09,101066.42
2016-12-12,101019.35000000002
2016-12-13,101086.42000000004
2016-12-14,100746.49
2016-12-15,100671.94000000002
2016-12-16,100668.24000000002
2016-12-19,100840.88000000003
2016-12-20,100870.65000000002
2016-12-21,100978.57000000002
2016-12-22,101057.49000000002
2016-12-23,101121.42
2016-12-26,101121.42
2016-12-27,101069.02000000002
2016-12-28,101145.96000000002
2016-12-29,101255.97
2016-12-30,101326.89000000004
2017-01-02,101326.89000000004
2017-01-03,101412.91000000002
2017-01-04,101571.66000000005
2017-01-05,101685.57000000002
2017-01-06,101537.48000000004
2017-01-09,101593.52000000003
2017-01-10,101591.59000000004
2017-01-11,101675.05000000005
2017-01-12,101692.88000000002
2017-01-13,101637.95000000004
2017-01-16,101637.95000000004
2017-01-17,101741.55000000002
2017-01-18,101576.10000000002
2017-01-19,101464.54000000002
2017-01-20,101531.12000000002
2017-01-23,101664.60000000003
2017-01-24,101601.88000000002
2017-01-25,101553.36000000002
2017-01-26,101588.97000000004
2017-01-27,101645.80000000002
2017-01-30,101590.45000000004
2017-01-31,101631.52000000002
2017-02-01,101633.31000000004
2017-02-02,101656.33000000005
2017-02-03,101672.41000000002
2017-02-06,101759.77000000002
2017-02-07,101753.62000000002
2017-02-08,101859.53000000004
2017-02-09,101786.12000000002
2017-02-10,101798.21000000002
2017-02-13,101791.70000000004
2017-02-14,101725.52000000002
2017-02-15,101732.91000000002
2017-02-16,101765.42
2017-02-17,101860.26000000004
2017-02-20,101860.26000000004
2017-02-21,101916.05000000002
2017-02-22,101963.58000000002
2017-02-23,102051.48000000004
2017-02-24,102184.51
2017-02-27,102119.69000000005
2017-02-28,102113.74000000002
2017-03-01,101759.68
2017-03-02,101598.33000000005
2017-03-03,101683.86000000002
2017-03-06,101530.56
2017-03-07,101292.05000000005
2017-03-08,101010.60000000003
2017-03-09,100748.07000000002
2017-03-10,100854.79000000004
2017-03-13,100695.53000000004
2017-03-14,100722.96000000002
2017-03-15,101334.96
2017-03-16,101197.37000000004
2017-03-17,101343.69000000005
2017-03-20,101438.62000000002
2017-03-21,101493.97000000002
2017-03-22,101643.00000000004
2017-03-23,101603.49000000002
2017-03-24,101763.49000000002
2017-03-27,101874.87000000002
2017-03-28,101783.0
2017-03-29,101983.05000000002
2017-03-30,101864.73
2017-03-31,101953.85000000003
2017-04-03,102194.98
2017-04-04,102062.80000000002
2017-04-05,102140.43000000002
2017-04-06,102147.35000000003
2017-04-07,101988.86000000004
2017-04-10,102114.09000000004
2017-04-11,102314.22000000004
2017-04-12,102505.87000000002
2017-04-13,102564.67000000004
2017-04-14,102564.67000000004
2017-04-17,102501.75000000004
2017-04-18,102807.88000000003
2017-04-19,102641.21000000002
2017-04-20,102598.81000000004
2017-04-21,102569.01000000004
2017-04-24,102541.71000000002
2017-04-25,102315.62000000002
2017-04-26,102443.82000000004
2017-04-27,102472.50000000004
2017-04-28,102543.55000000002
2017-05-01,102333.15000000004
2017-05-02,102454.59000000004
2017-05-03,102474.64000000004
2017-05-04,102290.06000000004
2017-05-05,102334.97000000004
2017-05-08,102246.42000000004
2017-05-09,102237.45000000004
2017-05-10,102307.01000000002
2017-05-11,102316.08000000005
2017-05-12,102493.11000000004
2017-05-15,102487.48000000004
2017-05-16,102583.28
2017-05-17,102817.60000000003
2017-05-18,102848.41000000005
2017-05-19,102925.39
2017-05-22,102912.41000000002
2017-05-23,102767.78
2017-05-24,102901.92
2017-05-25,102897.84000000004
2017-05-26,102940.78000000004
2017-05-29,102940.78000000004
2017-05-30,103065.01000000002
2017-05-31,103117.19000000005
2017-06-01,103121.85000000003
2017-06-02,103364.75000000004
2017-06-05,103231.76000000002
2017-06-06,103354.50000000004
2017-06-07,103264.49000000003
2017-06-08,103198.98000000004
2017-06-09,103162.58000000005
2017-06-12,103161.32000000004
2017-06-13,103180.18000000004
2017-06-14,103508.16000000005
2017-06-15,103449.50000000004
2017-06-16,103491.82000000004
2017-06-19,103450.54000000002
2017-06-20,103620.09000000004
2017-06-21,103657.53000000004
2017-06-22,103702.81000000004
2017-06-23,103701.77000000003
2017-06-26,103786.52000000003
2017-06-27,103555.46000000004
2017-06-28,103521.04000000004
2017-06-29,103350.72000000004
2017-06-30,103304.07000000004
2017-07-03,103222.24000000002
2017-07-04,103222.24000000002
2017-07-05,103238.37000000002
2017-07-06,103037.32000000002
2017-07-07,102924.04000000004
2017-07-10,102986.11000000002
2017-07-11,103009.62000000002
2017-07-12,103272.65000000002
2017-07-13,103169.99000000003
2017-07-14,103260.11000000004
2017-07-17,103322.28000000004
2017-07-18,103521.06000000004
2017-07-19,103548.91000000005
2017-07-20,103618.30000000005
2017-07-21,103697.83000000002
2017-07-24,103635.97000000002
2017-07-25,103360.09000000004
2017-07-26,103455.50000000004
2017-07-27,103333.06000000004
2017-07-28,103462.80000000005
2017-07-31,103480.56000000004
2017-08-01,103652.59000000004
2017-08-02,103640.28
2017-08-03,103789.75000000004
2017-08-04,103605.34000000004
2017-08-07,103617.89
2017-08-08,103429.74000000002
2017-08-09,103464.27000000003
2017-08-10,103489.84000000004
2017-08-11,103547.80000000002
2017-08-14,103541.10000000003
2017-08-15,103466.88000000003
2017-08-16,103565.64000000004
2017-08-17,103609.97000000004
2017-08-18,103616.09000000004
2017-08-21,103689.72000000004
2017-08-22,103678.46000000004
2017-08-23,103841.96000000004
2017-08-24,103778.38000000002
2017-08-25,103900.23000000004
2017-08-28,103889.87000000002
2017-08-29,103931.22000000004
2017-08-30,103982.06000000004
2017-08-31,104095.94000000005
2017-09-01,103920.98000000004
2017-09-04,103920.98000000004
2017-09-05,104252.81000000004
2017-09-06,104106.26000000002
2017-09-07,104319.32000000002
2017-09-08,104242.46000000004
2017-09-11,104012.72000000004
2017-09-12,103914.26000000002
2017-09-13,103842.86000000004
2017-09-14,103942.64000000004
2017-09-15,103959.65000000004
2017-09-18,103857.14000000004
2017-09-19,103828.34000000004
2017-09-20,103821.14000000004
2017-09-21,103813.79000000002
2017-09-22,103875.50000000004
2017-09-25,104025.23000000004
2017-09-26,103995.59000000004
2017-09-27,103709.03000000004
2017-09-28,103687.19000000005
2017-09-29,103733.72000000002
2017-10-02,103720.10000000003
2017-10-03,103795.25000000004
2017-10-04,103782.59000000004
2017-10-05,103766.09000000004
2017-10-06,103720.07000000004
2017-10-09,103738.61000000002
2017-10-10,103785.20000000004
2017-10-11,103780.49000000002
2017-10-12,103792.22000000004
2017-10-13,103879.64000000004
2017-10-16,103833.50000000004
2017-10-17,103828.64
2017-10-18,103804.73000000004
2017-10-19,103844.48000000004
2017-10-20,103788.77000000003
2017-10-23,103786.19000000005
2017-10-24,103728.95
2017-10-25,103631.60000000002
2017-10-26,103605.17000000004
2017-10-27,103736.45000000004
2017-10-30,103819.67
2017-10-31,103808.00000000004
2017-11-01,103896.86000000004
2017-11-02,103973.15000000002
2017-11-03,104036.05000000002
2017-11-06,104132.92
2017-11-07,104154.43000000002
2017-11-08,104024.24
2017-11-09,103856.55000000005
2017-11-10,103513.11000000004
2017-11-13,103531.67
2017-11-14,103593.97000000004
2017-11-15,103854.13000000003
2017-11-16,103829.47000000004
2017-11-17,103964.27000000002
2017-11-20,103938.24000000003
2017-11-21,104064.81000000004
2017-11-22,104246.70000000004
2017-11-23,104246.70000000004
2017-11-24,104186.13000000002
2017-11-27,104100.73
2017-11-28,104193.75000000004
2017-11-29,103919.60000000003
2017-11-30,103830.80000000002
2017-12-01,104136.80000000002
2017-12-04,104158.96000000002
2017-12-05,104267.18000000002
2017-12-06,104356.38000000002
2017-12-07,104196.15000000002
2017-12-08,104188.03000000004
2017-12-11,104156.66000000005
2017-12-12,104144.41000000005
2017-12-13,104360.45000000004
2017-12-14,104414.36000000004
2017-12-15,104489.45000000004
2017-12-18,104294.84
2017-12-19,103940.13000000002
2017-12-20,103698.27000000003
2017-12-21,103878.12000000002
2017-12-22,103932.59
2017-12-25,103932.59
2017-12-26,104028.69000000002
2017-12-27,104384.22000000004
2017-12-28,104360.17000000004
2017-12-29,104466.87
2018-01-01,104466.87
2018-01-02,104175.18
2018-01-03,104362.78000000004
2018-01-04,104390.78000000004
2018-01-05,104350.76000000002
2018-01-08,104315.91000000005
2018-01-09,103962.60000000003
2018-01-10,103913.94000000005
2018-01-11,104046.2
2018-01-12,104062.90000000002
2018-01-15,104062.90000000002
2018-01-16,104154.45000000004
2018-01-17,104087.53000000004
2018-01-18,103862.08000000005
2018-01-19,103733.54000000004
2018-01-22,103739.61000000004
2018-01-23,103932.39000000004
2018-01-24,103814.29
2018-01-25,104027.50000000004
2018-01-26,103957.07
2018-01-29,103724.74000000002
2018-01-30,103500.20000000004
2018-01-31,103683.05000000005
2018-02-01,103293.72000000004
2018-02-02,102966.97000000002
2018-02-05,103107.31000000004
2018-02-06,103012.60000000003
2018-02-07,102740.61000000002
2018-02-08,102494.35000000003
2018-02-09,102283.69000000005
2018-02-12,102451.99000000002
2018-02-13,102475.95000000004
2018-02-14,102256.24000000002
2018-02-15,102498.01000000002
2018-02-16,102710.82000000004
2018-02-19,102710.82000000004
2018-02-20,102518.23000000004
2018-02-21,102152.69000000005
2018-02-22,102243.42000000004
2018-02-23,102597.56000000004
2018-02-26,102663.13000000002
2018-02-27,102495.22000000004
2018-02-28,102615.15
2018-03-01,102595.78
2018-03-02,102588.95000000004
2018-03-05,102574.27000000002
2018-03-06,102599.79000000002
2018-03-07,102555.42
2018-03-08,102618.85000000003
2018-03-09,102597.11000000002
2018-03-12,102613.30000000002
2018-03-13,102577.82000000004
2018-03-14,102617.63000000002
2018-03-15,102642.19000000005
2018-03-16,102663.84000000004
2018-03-19,102543.24000000002
2018-03-20,102495.59000000004
2018-03-21,102536.79
2018-03-22,102517.36000000004
2018-03-23,102447.01
2018-03-26,102558.80000000005
2018-03-27,102667.69000000005
2018-03-28,102699.83000000005
2018-03-29,102855.81000000004
2018-03-30,102855.81000000004
2018-04-02,102808.01000000002
2018-04-03,102831.13000000002
2018-04-04,102853.59
2018-04-05,102832.91000000002
2018-04-06,102867.46000000002
2018-04-09,102920.62000000002
2018-04-10,102964.03
2018-04-11,103012.57000000002
2018-04-12,103036.16000000005
2018-04-13,103062.82000000004
2018-04-16,103075.79000000002
2018-04-17,103104.41000000005
2018-04-18,103046.23000000004
2018-04-19,102977.42
2018-04-20,102885.15000000002
2018-04-23,102836.02000000002
2018-04-24,102772.63000000002
2018-04-25,102750.31000000004
2018-04-26,102846.39
2018-04-27,102892.33000000005
2018-04-30,102885.08000000002
2018-05-01,102851.91000000005
2018-05-02,102868.04000000002
2018-05-03,102897.29000000002
2018-05-04,102908.95000000004
2018-05-07,102925.33000000002
2018-05-08,102878.03000000004
2018-05-09,102889.01000000002
2018-05-10,102962.51000000002
2018-05-11,102957.23000000004
2018-05-14,102924.89000000004
2018-05-15,102800.82000000004
2018-05-16,102798.63000000002
2018-05-17,102786.08000000005
2018-05-18,102813.54000000004
2018-05-21,102843.66000000002
2018-05-22,102847.86000000004
2018-05-23,102914.47000000004
2018-05-24,102951.89000000004
2018-05-25,102957.92000000004
2018-05-28,102957.92000000004
2018-05-29,103018.03000000004
2018-05-30,103020.2
2018-05-31,103013.24000000002
2018-06-01,102915.72000000004
2018-06-04,102781.11000000002
2018-06-05,102846.26000000002
2018-06-06,102700.05000000005
2018-06-07,102880.73000000004
2018-06-08,102813.38000000003
2018-06-11,102787.28000000004
2018-06-12,102780.50000000004
2018-06-13,102763.71000000002
2018-06-14,102919.18000000002
2018-06-15,102938.59000000004
2018-06-18,102936.67000000004
2018-06-19,103043.03000000004
2018-06-20,102875.68000000002
2018-06-21,102976.52000000003
2018-06-22,102995.74000000002
2018-06-25,103035.45000000004
2018-06-26,103076.42000000004
2018-06-27,103260.42000000004
2018-06-28,103245.69000000005
2018-06-29,103199.71000000002
2018-07-02,103192.88000000003
2018-07-03,103311.02000000003
2018-07-04,103311.02000000003
2018-07-05,103426.28000000004
2018-07-06,103541.66000000005
2018-07-09,103433.96000000004
2018-07-10,103412.66000000005
2018-07-11,103463.2
2018-07-12,103500.86000000002
2018-07-13,103570.60000000003
2018-07-16,103460.14
2018-07-17,103415.18000000002
2018-07-18,103341.06000000004
2018-07-19,103456.26000000002
2018-07-20,103248.68000000002
2018-07-23,102988.74000000003
2018-07-24,103082.20000000004
2018-07-25,103086.92000000004
2018-07-26,103046.54000000004
2018-07-27,103093.62000000002
2018-07-30,103040.14000000004
2018-07-31,103175.50000000004
2018-08-01,103020.32000000002
2018-08-02,103068.63000000003
2018-08-03,103197.35000000002
2018-08-06,103249.29000000004
2018-08-07,103138.71000000004
2018-08-08,103118.84000000004
2018-08-09,103241.39000000004
2018-08-10,103343.34000000004
2018-08-13,103294.97000000002
2018-08-14,103311.08000000002
2018-08-15,103396.46000000004
2018-08-16,103435.13000000003
2018-08-17,103485.11000000004
2018-08-20,103626.72000000002
2018-08-21,103564.52000000003
2018-08-22,103627.78
2018-08-23,103653.12000000002
2018-08-24,103739.67000000004
2018-08-27,103638.57000000002
2018-08-28,103486.58000000005
2018-08-29,103480.60000000002
2018-08-30,103514.7
2018-08-31,103477.64
2018-09-03,103477.64
2018-09-04,103398.64
2018-09-05,103360.78
2018-09-06,103423.61000000004
2018-09-07,103308.16000000005
2018-09-10,103390.56000000004
2018-09-11,103329.97000000004
2018-09-12,103409.56000000004
2018-09-13,103452.49000000002
2018-09-14,103419.87000000002
2018-09-17,103404.54000000002
2018-09-18,103313.25000000004
2018-09-19,103247.93000000002
2018-09-20,103273.37000000002
2018-09-21,103335.98
2018-09-24,103280.57
2018-09-25,103261.14
2018-09-26,103354.51000000002
2018-09-27,103408.27000000002
2018-09-28,103402.97000000004
2018-10-01,103386.21000000002
2018-10-02,103389.75
2018-10-03,103256.09000000004
2018-10-04,103139.48000000004
2018-10-05,103013.02000000002
2018-10-08,102962.69000000002
2018-10-09,103028.05000000005
2018-10-10,102884.93000000002
2018-10-11,102962.67000000004
2018-10-12,103054.46000000002
2018-10-15,103015.44000000002
2018-10-16,103103.04000000002
2018-10-17,103000.05000000002
2018-10-18,102944.35000000002
2018-10-19,102926.81
2018-10-22,102919.0
2018-10-23,102931.79000000002
2018-10-24,102899.93000000002
2018-10-25,102909.96000000004
2018-10-26,102872.80000000002
2018-10-29,102850.71
2018-10-30,102842.51000000002
2018-10-31,102798.77000000003
2018-11-01,102810.39000000004
2018-11-02,102792.75000000004
2018-11-05,102798.63000000003
2018-11-06,102794.71000000002
2018-11-07,102790.72000000004
2018-11-08,102790.65000000002
2018-11-09,102802.27000000003
2018-11-12,102810.18000000004
2018-11-13,102814.03000000004
2018-11-14,102821.94000000002
2018-11-15,102833.56000000004
2018-11-16,102845.25000000004
2018-11-19,102855.12000000004
2018-11-20,102854.98000000004
2018-11-21,102858.76000000004
2018-11-22,102858.76000000004
2018-11-23,102856.80000000005
2018-11-26,102858.69000000002
2018-11-27,102860.65000000004
2018-11-28,102866.53000000004
2018-11-29,102872.34000000004
2018-11-30,102878.15000000004
2018-12-03,102866.45000000004
