date,equity
2017-07-31,100000.0
2017-08-01,99984.914
2017-08-02,100007.46899999998
2017-08-03,100019.759
2017-08-04,99945.409
2017-08-07,99964.485
2017-08-08,99764.414
2017-08-09,100028.94
2017-08-10,99262.039
2017-08-11,99458.289
2017-08-14,99667.253
2017-08-15,99415.087
2017-08-16,99719.942
2017-08-17,99184.057
2017-08-18,99366.474
2017-08-21,99468.598
2017-08-22,99839.6134
2017-08-23,99875.589
2017-08-24,99772.059
2017-08-25,99902.574
2017-08-28,100174.284
2017-08-29,100251.939
2017-08-30,100304.448
2017-08-31,101162.226
2017-09-01,101136.411
2017-09-04,101136.411
2017-09-05,101029.551
2017-09-06,101229.402
2017-09-07,101743.797
2017-09-08,101538.891
2017-09-11,101732.771
2017-09-12,101798.807
2017-09-13,101627.917
2017-09-14,101835.632
2017-09-15,102063.898
2017-09-18,102011.143
2017-09-19,101998.84699999998
2017-09-20,101934.923
2017-09-21,101727.583
2017-09-22,101805.863
2017-09-25,101732.13999999998
2017-09-26,101513.555
2017-09-27,101352.109
2017-09-28,101391.763
2017-09-29,101615.403
2017-10-02,101519.797
2017-10-03,101776.972
2017-10-04,101881.50699999998
2017-10-05,102043.098
2017-10-06,101816.002
2017-10-09,101802.517
2017-10-10,102261.453
2017-10-11,102306.693
2017-10-12,102368.828
2017-10-13,102718.989
2017-10-16,102652.984
2017-10-17,102576.109
2017-10-18,102669.289
2017-10-19,102646.454
2017-10-20,102712.824
2017-10-23,102422.314
2017-10-24,102558.38
2017-10-25,102207.251
2017-10-26,102117.966
2017-10-27,102528.934
2017-10-30,102431.177
2017-10-31,102528.272
2017-11-01,102573.237
2017-11-02,102806.503
2017-11-03,102899.548
2017-11-06,103170.86
2017-11-07,103110.105
2017-11-08,103219.655
2017-11-09,103026.76
2017-11-10,102835.58
2017-11-13,102682.429
2017-11-14,102436.963
2017-11-15,102249.773
2017-11-16,102748.762
2017-11-17,102828.4236
2017-11-20,102680.446
2017-11-21,103214.004
2017-11-22,103472.799
2017-11-23,103472.799
2017-11-24,103633.585
2017-11-27,103504.87
