date,equity
2000-01-03,99398.08833333332
2000-01-04,96921.88150013852
2000-01-05,96982.66444275666
2000-01-06,96810.43131259504
2000-01-07,98843.33258413475
2000-01-10,99584.4878974615
2000-01-11,98699.22993255557
2000-01-12,98433.4263263985
2000-01-13,99266.90480158888
2000-01-14,99966.13426121762
2000-01-18,99550.97823783528
2000-01-19,99650.03477954784
2000-01-20,99096.28285794571
2000-01-21,98915.27193607268
2000-01-24,97171.90345690234
2000-01-25,97595.07575973507
2000-01-26,97280.79847018897
2000-01-27,97050.87368165803
2000-01-28,95375.06066047648
2000-01-31,96908.98094024762
2000-02-01,97614.4234064034
2000-02-02,97586.06967021796
2000-02-03,98362.34571079611
2000-02-04,98337.41905302057
2000-02-07,98384.34403043568
2000-02-08,99119.19965234594
2000-02-09,97813.32732473953
2000-02-10,98057.03249021336
2000-02-11,96749.9208071317
2000-02-14,96871.74185741732
2000-02-15,97467.35130411152
2000-02-16,96817.85649077046
2000-02-17,96797.85230798852
2000-02-18,94916.71995207846
2000-02-22,95186.64728416884
2000-02-23,95671.5407569874
2000-02-24,95322.55808324246
2000-02-25,94416.40595901014
2000-02-28,95072.03662920304
2000-02-29,95969.4041530727
2000-03-01,96559.72315444871
2000-03-02,96646.5416108656
2000-03-03,97953.59588271374
2000-03-06,97155.00143876109
2000-03-07,95475.01820413231
2000-03-08,96019.84798676452
2000-03-09,97586.55263577896
2000-03-10,97321.80682424828
2000-03-13,96833.08266285872
2000-03-14,95705.56470387122
2000-03-15,97223.78195408736
2000-03-16,100220.27400738878
2000-03-17,100553.23749406142
2000-03-20,100211.29280286454
2000-03-21,101831.9265319546
2000-03-22,102177.12827690406
2000-03-23,103389.5535662771
2000-03-24,103414.9736111806
2000-03-27,103266.09913875282
2000-03-28,102543.5376375707
2000-03-29,102623.80530071548
2000-03-30,101718.89595192183
2000-03-31,102257.52124039632
2000-04-03,102450.11135160846
2000-04-04,102055.2515474408
2000-04-05,101740.05730487824
2000-04-06,102319.99428385992
2000-04-07,102999.80662054864
2000-04-10,102485.19727004762
2000-04-11,102306.96867964852
2000-04-12,100866.82246851956
2000-04-13,99756.9982698081
2000-04-14,95913.71360119962
2000-04-17,97954.07484070468
2000-04-18,99783.79655371622
2000-04-19,99192.0520311403
2000-04-20,99472.16377327275
2000-04-24,99313.8521667582
2000-04-25,101527.44206539437
2000-04-26,100738.86150163211
2000-04-27,100940.11592015906
2000-04-28,100387.76992350868
2000-05-01,101099.27493535956
2000-05-02,100101.06787430946
2000-05-03,98752.5780270054
2000-05-04,98479.51398175034
2000-05-05,99488.33484032891
2000-05-08,99126.96999424403
2000-05-09,98587.27981457506
2000-05-10,97232.9732067916
2000-05-11,98478.54379906612
2000-05-12,99031.01991894231
2000-05-15,100451.27989317784
2000-05-16,101119.74967710696
2000-05-17,100317.99814718378
2000-05-18,99836.5085393433
2000-05-19,98440.38149239463
2000-05-22,98168.9485471596
2000-05-23,96895.36514622704
2000-05-24,98133.39884162314
2000-05-25,97295.42957113127
2000-05-26,97184.3100826086
2000-05-30,99236.31467680183
2000-05-31,99165.50295052564
2000-06-01,100488.830226716
2000-06-02,101778.47707682426
2000-06-05,101343.84566093129
2000-06-06,100885.57723617302
2000-06-07,101575.70856722508
2000-06-08,101115.6654114102
2000-06-09,100908.44739302152
2000-06-12,100410.56343177689
2000-06-13,101492.50566135756
2000-06-14,101559.08305352966
2000-06-15,101951.15020100644
2000-06-16,101327.38077954575
2000-06-19,102326.53292803992
2000-06-20,101892.1550903182
2000-06-21,102039.53020523825
2000-06-22,100839.71199459066
2000-06-23,100363.53510991912
2000-06-26,101007.23504232804
2000-06-27,100796.69387815188
2000-06-28,101028.05084966552
2000-06-29,100467.3889462719
2000-06-30,101034.393400355
2000-07-03,101686.49126614611
2000-07-05,100624.29621045307
2000-07-06,101116.51169486772
2000-07-07,102130.10529337228
2000-07-10,101989.40745598328
2000-07-11,102225.51463406732
2000-07-12,102792.60726898264
2000-07-13,102926.0080882761
2000-07-14,103563.62098491522
2000-07-17,103606.94337363356
2000-07-18,102869.3569098447
2000-07-19,102350.72218760164
2000-07-20,102979.6486111454
2000-07-21,102315.74053287682
2000-07-24,101613.15027947396
2000-07-25,102087.2179643403
2000-07-26,101098.40797695224
2000-07-27,100998.23124946134
2000-07-28,99662.57677369514
2000-07-31,100172.98869438394
2000-08-01,100511.77374214836
