,predicted_vol,exposure_symmetric,exposure_asymmetric_cap,exposure_binary_defensive,exposure_three_state,exposure
2018-01-04,0.07977423396226681,1.5,1.0,0.85,0.85,0.85
2018-01-05,0.07900544423525188,1.5,1.0,0.85,0.85,0.85
2018-01-08,0.07979479695792958,1.5,1.0,0.85,0.85,0.85
2018-01-09,0.07796944284131985,1.5,1.0,0.85,0.85,0.85
2018-01-10,0.07806359831970526,1.5,1.0,0.85,0.85,0.85
2018-01-11,0.07794014146997673,1.5,1.0,0.85,0.85,0.85
2018-01-12,0.08043593928584385,1.5,1.0,0.85,0.85,0.85
2018-01-16,0.08069201193928446,1.5,1.0,0.85,0.85,0.85
2018-01-17,0.08009083825078091,1.5,1.0,0.85,0.85,0.85
2018-01-18,0.08224506524354432,1.5,1.0,0.85,0.85,0.85
2018-01-19,0.0794202366551818,1.5,1.0,0.85,0.85,0.85
2018-01-22,0.0800333984343238,1.5,1.0,0.85,0.85,0.85
2018-01-23,0.08118776883596485,1.5,1.0,0.85,0.85,0.85
2018-01-24,0.0789130916217576,1.5,1.0,0.85,0.85,0.85
2018-01-25,0.07853757903138081,1.5,1.0,0.85,0.85,0.85
2018-01-26,0.07847289726180888,1.5,1.0,0.85,0.85,0.85
2018-01-29,0.08318685614737298,1.5,1.0,0.85,0.85,0.85
2018-01-30,0.08339640935159442,1.5,1.0,0.85,0.85,0.85
2018-01-31,0.08757564855698735,1.5,1.0,0.85,0.85,0.85
2018-02-01,0.08399566887775702,1.5,1.0,0.85,0.85,0.85
2018-02-02,0.08380809892047292,1.5,1.0,0.85,0.85,0.85
2018-02-05,0.09709180282552496,1.5,1.0,0.85,0.85,0.85
2018-02-06,0.11985008617784401,1.2515635556358042,1.0,0.85,0.85,0.85
2018-02-07,0.11490224893960291,1.3054574769798095,1.0,0.85,0.85,0.85
2018-02-08,0.11042894733631874,1.358339489945195,1.0,0.85,0.85,0.85
2018-02-09,0.12927743177127812,1.1602953272260614,1.0,0.85,0.85,0.85
2018-02-12,0.124087220413383,1.2088271419110799,1.0,0.85,0.85,0.85
2018-02-13,0.12434810479789062,1.2062910025352034,1.0,0.85,0.85,0.85
2018-02-14,0.12030355219869157,1.246845976353734,1.0,0.85,0.85,0.85
2018-02-15,0.1253161642317765,1.1969724809208964,1.0,0.85,0.85,0.85
2018-02-16,0.1247466546192253,1.2024370549884291,1.0,0.85,0.85,0.85
2018-02-20,0.12102399055044809,1.2394236821787283,1.0,0.85,0.85,0.85
2018-02-21,0.12288568150883172,1.220646686890202,1.0,0.85,0.85,0.85
2018-02-22,0.12213736005852326,1.228125447677321,1.0,0.85,0.85,0.85
2018-02-23,0.12059015357433339,1.2438826517252752,1.0,0.85,0.85,0.85
2018-02-26,0.12755693019494585,1.1759455152358582,1.0,0.85,0.85,0.85
2018-02-27,0.12703862782228353,1.1807432319706532,1.0,0.85,0.85,0.85
2018-02-28,0.12716192562024664,1.1795983685238964,1.0,0.85,0.85,0.85
2018-03-01,0.12686218954869496,1.1823853942109661,1.0,0.85,0.85,0.85
2018-03-02,0.12816803120656245,1.1703386451981304,1.0,0.85,0.85,0.85
2018-03-05,0.1254719340355557,1.1954864739511677,1.0,0.85,0.85,0.85
2018-03-06,0.12847122895841367,1.1675765945117191,1.0,0.85,0.85,0.85
2018-03-07,0.12448150358880095,1.204998298345545,1.0,0.85,0.85,0.85
2018-03-08,0.11213218461476512,1.337706926118771,1.0,0.85,0.85,0.85
2018-03-09,0.11146024288981979,1.3457713361371135,1.0,0.85,0.85,0.85
2018-03-12,0.1170582500768623,1.2814133126157927,1.0,0.85,0.85,0.85
2018-03-13,0.09843161258512793,1.5,1.0,0.85,0.85,0.85
2018-03-14,0.0997240747168317,1.5,1.0,0.85,0.85,0.85
2018-03-15,0.09855821221485378,1.5,1.0,0.85,0.85,0.85
2018-03-16,0.09715801478471978,1.5,1.0,0.85,0.85,0.85
2018-03-19,0.09577726078491298,1.5,1.0,0.85,0.85,0.85
2018-03-20,0.10013744159434008,1.497941205724575,1.0,0.85,0.85,0.85
2018-03-21,0.09629025615195126,1.5,1.0,0.85,0.85,0.85
2018-03-22,0.0961675668932384,1.5,1.0,0.85,0.85,0.85
2018-03-23,0.10898307509449676,1.3763605024903032,1.0,0.85,0.85,0.85
2018-03-26,0.11155090587828172,1.3446775606078165,1.0,0.85,0.85,0.85
2018-03-27,0.11762158606720496,1.275276120781904,1.0,0.85,0.85,0.85
2018-03-28,0.1141464808579761,1.3141009593334176,1.0,0.85,0.85,0.85
2018-03-29,0.10918329036030652,1.3738365962868284,1.0,0.85,0.85,0.85
2018-04-02,0.11373335004182922,1.3188743666201033,1.0,0.85,0.85,0.85
2018-04-03,0.11869626470758202,1.2637297422082936,1.0,0.85,0.85,0.85
2018-04-04,0.11666585215352485,1.2857232620442316,1.0,0.85,0.85,0.85
2018-04-05,0.11653555329789515,1.2871608342267962,1.0,0.85,0.85,0.85
2018-04-06,0.11496458925486647,1.3047495839563528,1.0,0.85,0.85,0.85
2018-04-09,0.12395956929791789,1.2100719682197176,1.0,0.85,0.85,0.85
2018-04-10,0.11688326359473221,1.2833317224961565,1.0,0.85,0.85,0.85
2018-04-11,0.12147835273754555,1.2347878994052182,1.0,0.85,0.85,0.85
2018-04-12,0.11702580455344769,1.2817685857608647,1.0,0.85,0.85,0.85
2018-04-13,0.11883615370622023,1.2622421318921275,1.0,0.85,0.85,0.85
2018-04-16,0.11683135807203451,1.283901877674954,1.0,0.85,0.85,0.85
2018-04-17,0.11969403623106753,1.2531952695657056,1.0,0.85,0.85,0.85
2018-04-18,0.12128554588466262,1.2367508337938604,1.0,0.85,0.85,0.85
2018-04-19,0.11644215274745227,1.2881932913532634,1.0,0.85,0.85,0.85
2018-04-20,0.11847025690546123,1.2661405817639053,1.0,0.85,0.85,0.85
2018-04-23,0.1198872673664256,1.2511754024848802,1.0,0.85,0.85,0.85
2018-04-24,0.11259292742506705,1.3322328802564276,1.0,0.85,0.85,0.85
2018-04-25,0.11566620983617394,1.296835093087734,1.0,0.85,0.85,0.85
2018-04-26,0.10543969734286965,1.4226140986750826,1.0,0.85,0.85,0.85
2018-04-27,0.10678448942678172,1.4046983864903864,1.0,0.85,0.85,0.85
2018-04-30,0.10311920151084944,1.4546272449968312,1.0,0.85,0.85,0.85
2018-05-01,0.10483449335509662,1.430826774656298,1.0,0.85,0.85,0.85
2018-05-02,0.09738753291365788,1.5,1.0,0.85,0.85,0.85
2018-05-03,0.09867047840408258,1.5,1.0,0.85,0.85,0.85
2018-05-04,0.09561364248242293,1.5,1.0,0.85,0.85,0.85
